Depmap ID,"RNAi (Achilles, DEMETER2)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-000300,-0.959441806107475,SLR25,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,5.277984747299765,Other
ACH-000299,-0.9988163178946785,HNT34,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.520422248526446,Other
ACH-000294,-0.967294277036373,NB4,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,5.344473459456363,Other
ACH-000292,-0.5658863261894883,NCIH841,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.881664619320345,Other
ACH-000291,-0.9080704685139146,OV90,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.124328135002202,Other
ACH-000290,-1.5178624170052677,NCIH209,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,4.816087658600206,Other
ACH-000283,-1.1661950502024367,A1207,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.146899560343589,Other
ACH-000281,-1.037492629493679,KP2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,4.833396134163228,Other
ACH-000280,-0.8175483802202296,SNU840,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.1586601753464985,Other
ACH-000279,-0.9543084585439111,EWS502,Ewing Sarcoma,Bone,Ewing Sarcoma,5.657354181523702,Other
ACH-000278,-0.9001403074481339,COV362,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.438625538088378,Other
ACH-000060,-0.7919707583559653,PANC1005,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.046578366620329,Other
ACH-000272,-0.8770398953241544,SLR24,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,3.6599245584023774,Other
ACH-000271,-0.9289896677543902,SUDHL10,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,4.529820946528695,Other
ACH-000270,-0.8814593138224956,HPAC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,4.651338766105931,Other
ACH-000269,-1.0530354673655136,AM38,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.483170853229874,Other
ACH-000265,-1.166339909533877,KP4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.655924213083815,Other
ACH-000264,-0.9329068090588402,CALU6,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.40973035386445,Other
ACH-000263,-0.11726673341513509,KASUMI1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.971313624068879,Other
ACH-000262,-0.8917349596820705,UOK101,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,4.6656201640663815,Other
ACH-000261,-0.8558079570577317,RERFLCAI,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.289834465177509,Other
ACH-000257,-1.1189512336809886,CORL279,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,4.368069876532083,Other
ACH-000251,-1.0146577298619557,NCIH2887,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.519793486241101,Other
ACH-000248,-0.9981259422840655,AU565,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,4.9823091301297735,Other
ACH-000246,-0.8980037532106967,SLR23,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,,Other
ACH-000244,-0.9084356065958706,DKMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,5.053545817727984,Other
ACH-000987,-0.9282108562236759,MEWO,Melanoma,Skin,Melanoma,5.866413481123453,Other
ACH-001086,-1.1020319103489569,HELA,Cervical Adenocarcinoma,Cervix,Cervical Adenocarcinoma,5.639810977716776,Other
ACH-001075,-1.0374889382367058,NCIH292,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.093391153253013,Other
ACH-001061,-0.9977566578990354,DLD1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.323370069061268,Other
ACH-001055,-1.0116537281015137,D556,Embryonal Tumor,CNS/Brain,Embryonal Tumor,,Other
ACH-001054,-0.9724735389669417,D458,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.120186027531863,Other
ACH-001053,-0.8610194312777872,D425,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.23189316164533,Other
ACH-001052,-1.0923972909698219,D384,Embryonal Tumor,CNS/Brain,Embryonal Tumor,,Other
ACH-001211,-1.0877307832100256,TTC549,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer,5.324810603420484,Other
ACH-001048,-0.762372500806088,COV504,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,4.859969548221026,Other
ACH-001042,-0.8967111927476622,COLO704,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,,Other
ACH-001039,-0.90884830220557,COLO205,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,,Other
ACH-001020,-0.9881576711828514,BT16,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.851499202461257,Other
ACH-001001,-1.018401772294301,143B,Osteosarcoma,Bone,Osteosarcoma,4.798050514767515,Other
ACH-000996,-0.8138150276227957,HEC251,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.34801990922869,Other
ACH-000994,-0.9731218602871525,HEC59,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.327328082629952,Other
