gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
CBWD5	1334.7131	1.1823	0.0945	0.0	0.0
CBX7	117.2386	-3.2155	0.3608	0.0	0.0
CC2D1A	1129.2933	-1.1822	0.1095	0.0	0.0
CCDC102A	133.0739	-1.2924	0.3051	0.0	0.0
CCDC113	136.0528	-1.1344	0.281	0.0	0.0
CCDC12	751.3624	1.0346	0.1209	0.0	0.0
CCDC120	494.7494	-1.6627	0.1599	0.0	0.0
CCDC125	107.2204	-1.2075	0.3125	0.0	0.0
CCDC138	178.8469	-1.0827	0.2408	0.0	0.0
CCDC14	462.9189	-1.3542	0.1593	0.0	0.0
CCDC15	57.3031	-1.7514	0.4944	0.0	0.0
CCDC174	526.3673	1.2432	0.1484	0.0	0.0
CCDC18	186.791	-1.4111	0.2546	0.0	0.0
CCDC183-AS1	64.1418	-1.448	0.4353	0.0	0.0
CCDC64	277.5918	-1.1308	0.1986	0.0	0.0
CCDC64B	158.6756	-1.2502	0.2605	0.0	0.0
CCDC82	261.5239	-1.9337	0.2222	0.0	0.0
CCDC9	897.4143	1.111	0.1121	0.0	0.0
CCNI2	28.7335	-1.0763	0.5578	0.0011	0.0031
CCNL1	1686.8059	1.8359	0.0997	0.0	0.0
CCR6	20.7202	1.0585	0.6403	0.0015	0.0041
CDC23	792.8368	-1.2542	0.1228	0.0	0.0
CDC25A	2308.5275	1.0333	0.0755	0.0	0.0
CDC5L	2917.6582	1.036	0.0688	0.0	0.0
CDC7	268.9591	-1.0304	0.2143	0.0	0.0
CDCA7L	863.1712	-1.1784	0.1183	0.0	0.0
CDCA8	3060.8142	1.0527	0.0674	0.0	0.0
CDK20	70.4948	-1.0641	0.372	0.0002	0.0006
CDPF1	52.848	-1.0842	0.425	0.0003	0.001
CEMP1	125.3189	-2.0871	0.3399	0.0	0.0
CENPF	7422.7742	1.0923	0.0681	0.0	0.0
CENPI	349.5196	-1.5934	0.1837	0.0	0.0
CENPK	249.5004	-1.363	0.2336	0.0	0.0
CEP95	314.9063	-1.2292	0.1918	0.0	0.0
CHAC1	567.5975	1.3951	0.1432	0.0	0.0
CHD1	2542.8067	1.2094	0.0768	0.0	0.0
CIAO1	1558.0669	-1.0726	0.0906	0.0	0.0
CIDECP	17.3248	-1.001	0.669	0.002	0.0056
