gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SLC25A18	2.2453	-0.003	0.1968	0.8612	NA
SLC25A19	193.4643	0.2313	0.162	0.0131	0.0654
SLC25A20	168.835	-0.0218	0.1554	0.8052	0.9022
SLC25A21	1.5508	-0.005	0.199	0.6902	NA
SLC25A21-AS1	14.3437	0.0297	0.1919	0.4276	NA
SLC25A22	1570.9106	-0.0309	0.0866	0.6873	0.8335
SLC25A23	1867.2585	-0.3229	0.0859	0	4e-04
SLC25A24	5904.3787	-0.1058	0.056	0.0477	0.1648
SLC25A25	564.4661	-0.0644	0.1186	0.4829	0.6964
SLC25A26	330.9072	-0.1583	0.1409	0.0934	0.2565
SLC25A27	74.9745	0.0474	0.1772	0.4826	0.6961
SLC25A28	467.8162	0.0848	0.1275	0.3648	0.5961
SLC25A29	620.6931	0.2084	0.1166	0.0227	0.0967
SLC25A3	11125.5139	-0.2966	0.049	0	0
SLC25A30	561.1666	0.0907	0.1192	0.3245	0.5566
SLC25A32	1773.5061	0.1884	0.083	0.0112	0.0583
SLC25A33	301.8673	-0.0013	0.1426	0.9891	0.9951
SLC25A34	12.4304	0.0249	0.1927	0.4648	NA
SLC25A35	80.3402	-0.0539	0.1729	0.4638	0.6828
SLC25A36	620.8508	0.1296	0.1179	0.1578	0.3613
SLC25A37	1708.702	-0.0354	0.0965	0.6683	0.8227
SLC25A38	704.0411	0.0853	0.1125	0.3429	0.5735
SLC25A39	3829.9535	-0.3051	0.064	0	0
SLC25A4	753.8471	-0.0097	0.1102	0.9132	0.96
SLC25A40	459.3316	-0.0303	0.1308	0.7468	0.871
SLC25A41	0.4299	0.0037	0.2015	0.6527	NA
SLC25A42	92.03	0.0207	0.1687	0.7892	0.8922
SLC25A43	729.5817	0.1512	0.1143	0.0952	0.2601
SLC25A44	925.8074	0.3059	0.1105	6e-04	0.0063
SLC25A45	53.4623	0.0499	0.1787	0.4459	NA
SLC25A46	1176.1914	-0.004	0.1001	0.962	0.9829
SLC25A47	0.3146	-0.0029	0.2014	0.724	NA
SLC25A48	0.2136	-0.0024	0.2013	0.7679	NA
SLC25A5	9383.961	-0.2983	0.052	0	0
SLC25A5-AS1	13.9254	-0.0769	0.2096	0.036	NA
SLC25A51	288.2173	-0.0408	0.144	0.6603	0.817
SLC25A52	1.12	0.0091	0.2021	0.3709	NA
SLC25A53	14.4004	0.0383	0.193	0.3075	NA
SLC25A6	10998.1934	-0.2908	0.0519	0	0
SLC26A1	107.2054	-0.1097	0.1734	0.155	0.3579
SLC26A10	6.3744	0.0254	0.1973	0.2898	NA
SLC26A11	118.6874	0.2033	0.1821	0.0163	0.0753
SLC26A2	1158.8689	0.2421	0.1053	0.0054	0.0342
SLC26A4	14.2478	-0.0021	0.19	0.9567	NA
SLC26A6	395.1807	0.0297	0.1374	0.7512	0.8726
SLC26A7	7.9495	0.0084	0.1932	0.7738	NA
SLC26A8	0.1964	0.002	0.2013	0.808	NA
SLC27A1	389.6285	-0.0149	0.1336	0.8741	0.941
SLC27A2	2.0014	-0.0024	0.1976	0.8753	NA
SLC27A3	126.7694	-0.1444	0.1671	0.0884	0.248
SLC27A4	1426.4137	-0.04	0.0904	0.6134	0.7883
SLC27A5	19.6214	-0.0617	0.1933	0.1688	NA
SLC27A6	0.3146	-0.0029	0.2014	0.724	NA
SLC28A3	14.8931	-0.0117	0.1897	0.7681	NA
SLC29A1	5196.7893	-0.0551	0.0624	0.3489	0.5793
SLC29A2	302.02	0.0405	0.1402	0.6647	0.8201
SLC29A3	106.9897	0.082	0.1672	0.3107	0.5447
SLC29A4	80.6801	0.0227	0.1737	0.7504	0.8724
SLC2A1	16894.8818	-0.0078	0.0451	0.8583	0.9331
SLC2A1-AS1	9.9433	0.0195	0.1926	0.5552	NA
SLC2A10	31.8547	0.0123	0.1844	0.8147	NA
SLC2A11	49.9516	-0.0086	0.18	0.8886	NA
SLC2A12	138.8582	-0.0712	0.1625	0.3985	0.6267
SLC2A13	80.0054	-0.001	0.1785	0.9872	0.9944
SLC2A14	0.8544	-0.0069	0.202	0.4544	NA
SLC2A2	0.6408	-0.0049	0.2019	0.5553	NA
SLC2A3	362.2805	0.1166	0.1335	0.2156	0.4397
SLC2A4	3.3872	0.0104	0.1964	0.6067	NA
SLC2A4RG	4089.2458	-0.1764	0.063	0.0029	0.0213
SLC2A5	2.1709	0.0233	0.2077	0.1093	NA
SLC2A6	619.8027	-0.0926	0.1243	0.32	0.5524
SLC2A8	330.3898	0.0505	0.1394	0.5897	0.7707
SLC2A9	1.2805	-0.0112	0.2027	0.2998	NA
SLC30A1	1196.743	-0.0323	0.0932	0.6894	0.8351
SLC30A3	14.3079	0.03	0.1921	0.415	NA
SLC30A4	120.4631	0.1535	0.169	0.069	0.211
SLC30A5	906.3064	0.1037	0.1039	0.2299	0.4568
SLC30A6	1076.5294	0.1793	0.1012	0.0352	0.1328
SLC30A7	1217.3916	-0.0136	0.0977	0.8705	0.9392
SLC30A9	1669.0295	-0.1104	0.0857	0.1471	0.3458
SLC31A1	1734.0146	-0.0791	0.0823	0.284	0.516
SLC31A2	667.5216	0.0416	0.1138	0.645	0.8081
SLC33A1	343.9954	-0.1112	0.1467	0.2305	0.4575
SLC34A3	14.2396	-0.0019	0.1904	0.9593	NA
SLC35A1	137.5149	0.0933	0.1636	0.2683	0.4997
SLC35A2	921.6439	-0.0919	0.1052	0.2907	0.5227
SLC35A3	750.7977	-0.0909	0.1101	0.3074	0.541
SLC35A4	2832.5509	-0.1414	0.0729	0.035	0.1325
SLC35A5	720.6473	-0.0113	0.11	0.8991	0.9539
SLC35B1	899.4372	-0.0972	0.1039	0.2606	0.4916
SLC35B2	2413.673	-0.1488	0.0749	0.0299	0.1183
SLC35B3	427.1192	0.0198	0.1278	0.832	0.9175
SLC35B4	1530.0982	0.0447	0.0883	0.5659	0.7551
SLC35C1	735.2934	0.174	0.1103	0.051	0.1723
SLC35C2	771.4578	0.1933	0.1117	0.0312	0.1218
SLC35D1	590.4028	0.147	0.12	0.1113	0.2888
SLC35D2	355.2637	-0.0194	0.1346	0.8365	0.9194
SLC35E1	1892.4342	0.0367	0.083	0.6218	0.7935
SLC35E2	178.1659	0.0843	0.1555	0.3439	0.5747
SLC35E2B	1411.9802	0.0844	0.0903	0.2853	0.5173
SLC35E3	244.7862	0.1345	0.1495	0.1455	0.3433
SLC35E4	121.2253	0.2353	0.1916	0.0069	0.0407
SLC35F1	1.8874	-0.0167	0.2049	0.1775	NA
SLC35F2	2765.4309	0.1523	0.0752	0.0269	0.1088
SLC35F3	143.9092	-0.0258	0.1595	0.7632	0.878
SLC35F5	1001.9949	0.1842	0.1075	0.0363	0.1361
SLC35F6	858.1377	0.1734	0.1084	0.0498	0.1693
SLC35G1	86.029	0.133	0.1763	0.086	0.2425
SLC35G2	300.9657	0.0648	0.1389	0.4897	0.7013
SLC35G5	1.8459	0	0.1978	0.9984	NA
SLC35G6	1.6904	-0.0128	0.2004	0.3526	NA
SLC36A1	589.9613	0.1382	0.124	0.1383	0.3328
SLC36A4	1291.3352	-0.2614	0.0995	0.0019	0.0153
