GO-term,Cellular Component (Gene Ontology),Count in Network,Strength,Signal,FDR
GO:0050794,Regulation of cellular process,187 of 11025,0.11,0.49,7.46E-06
GO:0051171,Regulation of nitrogen compound metabolic process,113 of 5734,0.18,0.49,7.5E-05
GO:0080090,Regulation of primary metabolic process,115 of 5899,0.17,0.49,9.16E-05
GO:0048523,Negative regulation of cellular process,97 of 4736,0.2,0.49,0.00015
GO:0034641,Cellular nitrogen compound metabolic process,76 of 3463,0.23,0.49,0.00030
GO:0006974,Cellular response to DNA damage stimulus,25 of 744,0.41,0.49,0.0024
GO:0033047,Regulation of mitotic sister chromatid segregation,6 of 55,0.92,0.49,0.0108
GO:0090169,Regulation of spindle assembly,5 of 35,1.04,0.49,0.0125
GO:0031326,Regulation of cellular biosynthetic process,87 of 4143,0.21,0.48,0.00024
GO:0010467,Gene expression,52 of 2101,0.28,0.48,0.00076
GO:0045935,Positive regulation of nucleobase-containing compound metabolic process,51 of 2056,0.28,0.48,0.00087
GO:0051254,Positive regulation of RNA metabolic process,47 of 1845,0.29,0.48,0.0010
GO:0070925,Organelle assembly,26 of 799,0.4,0.48,0.0027
GO:0006281,DNA repair,19 of 497,0.47,0.48,0.0041
GO:0034504,Protein localization to nucleus,11 of 195,0.64,0.48,0.0069
GO:1901985,Positive regulation of protein acetylation,6 of 57,0.91,0.48,0.0126
GO:0045945,Positive regulation of transcription by RNA polymerase III,4 of 19,1.21,0.48,0.0151
GO:1903490,Positive regulation of mitotic cytokinesis,3 of 7,1.52,0.48,0.0178
GO:0010216,Maintenance of DNA methylation,3 of 7,1.52,0.48,0.0178
GO:0043170,Macromolecule metabolic process,112 of 5781,0.17,0.47,0.00018
GO:0048519,Negative regulation of biological process,105 of 5313,0.18,0.47,0.00020
GO:0051172,Negative regulation of nitrogen compound metabolic process,57 of 2403,0.26,0.47,0.00084
GO:0051130,Positive regulation of cellular component organization,31 of 1049,0.36,0.46,0.0027
GO:0140013,Meiotic nuclear division,10 of 171,0.65,0.46,0.0102
GO:0072698,Protein localization to microtubule cytoskeleton,5 of 38,1.0,0.46,0.0167
GO:0033554,Cellular response to stress,41 of 1572,0.3,0.45,0.0023
GO:0044087,Regulation of cellular component biogenesis,29 of 971,0.36,0.45,0.0038
GO:0010639,Negative regulation of organelle organization,15 of 351,0.52,0.45,0.0076
GO:0031058,Positive regulation of histone modification,8 of 111,0.74,0.45,0.0125
GO:0051653,Spindle localization,6 of 60,0.88,0.45,0.0157
GO:0007063,Regulation of sister chromatid cohesion,4 of 21,1.16,0.45,0.0201
GO:0006355,"Regulation of transcription, DNA-templated",74 of 3460,0.21,0.44,0.00094
GO:0051173,Positive regulation of nitrogen compound metabolic process,69 of 3166,0.22,0.44,0.0011
GO:0022607,Cellular component assembly,57 of 2467,0.25,0.44,0.0016
GO:2001020,Regulation of response to DNA damage stimulus,14 of 316,0.53,0.44,0.0088
GO:0043414,Macromolecule methylation,13 of 278,0.55,0.44,0.0093
GO:0070828,Heterochromatin organization,6 of 61,0.88,0.44,0.0169
GO:1905832,Positive regulation of spindle assembly,3 of 8,1.46,0.44,0.0229
GO:0050789,Regulation of biological process,190 of 11655,0.1,0.43,0.00012
GO:0010557,Positive regulation of macromolecule biosynthetic process,47 of 1935,0.27,0.43,0.0029
GO:0045893,"Positive regulation of transcription, DNA-templated",43 of 1710,0.28,0.43,0.0031
GO:0006997,Nucleus organization,9 of 147,0.67,0.43,0.0151
GO:0071459,"Protein localization to chromosome, centromeric region",5 of 41,0.97,0.43,0.0218
GO:0035066,Positive regulation of histone acetylation,5 of 41,0.97,0.43,0.0218
GO:0051641,Cellular localization,60 of 2677,0.24,0.42,0.0022
GO:0016072,rRNA metabolic process,12 of 250,0.57,0.42,0.0126
GO:0009411,Response to UV,9 of 150,0.66,0.42,0.0170
GO:0051170,Import into nucleus,8 of 119,0.71,0.42,0.0181
GO:0045814,"Negative regulation of gene expression, epigenetic",6 of 64,0.86,0.42,0.0207
GO:0046599,Regulation of centriole replication,4 of 23,1.12,0.42,0.0258
GO:1901993,Regulation of meiotic cell cycle phase transition,3 of 9,1.41,0.42,0.0288
GO:0006357,Regulation of transcription by RNA polymerase II,58 of 2586,0.24,0.41,0.0028
GO:0051052,Regulation of DNA metabolic process,19 of 541,0.43,0.41,0.0104
GO:0006284,Base-excision repair,5 of 43,0.95,0.41,0.0258
GO:0009893,Positive regulation of metabolic process,78 of 3847,0.19,0.4,0.0028
GO:0010604,Positive regulation of macromolecule metabolic process,73 of 3533,0.2,0.4,0.0030
GO:0000122,Negative regulation of transcription by RNA polymerase II,28 of 971,0.34,0.4,0.0083
GO:1901983,Regulation of protein acetylation,7 of 94,0.76,0.4,0.0235
GO:1901988,Negative regulation of cell cycle phase transition,11 of 225,0.57,0.39,0.0189
GO:1902806,Regulation of cell cycle G1/S phase transition,10 of 192,0.6,0.39,0.0218
GO:0000075,Cell cycle checkpoint signaling,9 of 157,0.64,0.39,0.0221
GO:0045840,Positive regulation of mitotic nuclear division,5 of 45,0.93,0.39,0.0301
GO:0009987,Cellular process,223 of 14826,0.06,0.38,0.00062
GO:0065007,Biological regulation,195 of 12385,0.08,0.38,0.00087
GO:0051649,Establishment of localization in cell,42 of 1756,0.26,0.37,0.0094
GO:0010629,Negative regulation of gene expression,26 of 899,0.35,0.37,0.0129
GO:2000045,Regulation of G1/S transition of mitotic cell cycle,9 of 164,0.62,0.37,0.0286
GO:0006401,RNA catabolic process,9 of 164,0.62,0.37,0.0286
GO:0035065,Regulation of histone acetylation,6 of 72,0.81,0.37,0.0337
GO:0033036,Macromolecule localization,52 of 2356,0.23,0.36,0.0097
GO:1901991,Negative regulation of mitotic cell cycle phase transition,9 of 167,0.62,0.36,0.0316
GO:0051571,Positive regulation of histone H3-K4 methylation,4 of 27,1.06,0.36,0.0415
GO:0044260,Cellular macromolecule metabolic process,54 of 2512,0.22,0.34,0.0129
GO:0090307,Mitotic spindle assembly,5 of 51,0.88,0.34,0.0490
GO:0031507,Heterochromatin assembly,5 of 51,0.88,0.34,0.0490
GO:0051129,Negative regulation of cellular component organization,21 of 691,0.37,0.33,0.0261
GO:0006417,Regulation of translation,16 of 456,0.43,0.33,0.0294
GO:0051246,Regulation of protein metabolic process,55 of 2622,0.21,0.32,0.0192
GO:0051640,Organelle localization,17 of 514,0.4,0.32,0.0360
GO:0031399,Regulation of protein modification process,37 of 1560,0.26,0.31,0.0247
GO:0031328,Positive regulation of cellular biosynthetic process,45 of 2041,0.23,0.3,0.0258
GO:0043933,Protein-containing complex organization,35 of 1465,0.26,0.3,0.0304
GO:0065003,Protein-containing complex assembly,32 of 1303,0.27,0.3,0.0339
