gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
GLB1L3	0.2311	-0.046	0.9484	0.7982	NA
GLCCI1	97.3626	-1.9793	0.4704	0	0
GLCE	709.2803	0.1605	0.2347	0.4776	0.6203
GLDC	1.0009	0.082	0.9412	0.6905	NA
GLDN	5.0171	-0.0492	0.858	0.892	0.9332
GLE1	1845.8346	0.3164	0.2044	0.1111	0.203
GLG1	3507.3027	0.7787	0.1909	0	2e-04
GLI1	0.2354	-0.0468	0.9485	0.7946	NA
GLI2	105.1844	-2.6386	0.523	0	0
GLI3	170.725	-1.3239	0.3668	1e-04	3e-04
GLI4	101.1694	-0.7712	0.4655	0.0518	0.1084
GLIDR	64.2395	-0.3467	0.4853	0.3942	0.5405
GLIPR1	2239.1426	0.4468	0.2229	0.0379	0.0838
GLIPR1L1	12.4574	0.2612	0.7509	0.5566	0.6908
GLIPR1L2	3.0777	0.0904	0.9106	0.7484	NA
GLIPR2	152.1099	0.9573	0.3809	0.0052	0.0151
GLIS1	0.2432	-0.0474	0.9484	0.7922	NA
GLIS2	347.5142	-1.5538	0.3273	0	0
GLIS3	157.0156	-1.7383	0.4081	0	0
GLMN	324.7288	-0.1602	0.3408	0.6098	0.7326
GLO1	6975.9787	0.3957	0.2495	0.0976	0.1826
GLOD4	1697.521	0.3335	0.2057	0.0951	0.1787
GLP2R	16.7709	0.9787	0.7726	0.0377	0.0834
GLRA1	2.4132	0.3208	0.9442	0.1838	NA
GLRA3	1.0008	0.082	0.9412	0.6906	NA
GLRA4	1.6892	0.2211	0.9461	0.3009	NA
GLRB	258.5049	0.3132	0.3247	0.2987	0.4406
GLRX	313.465	0.5407	0.2916	0.0488	0.1031
GLRX2	321.4001	0.2202	0.2877	0.4172	0.563
GLRX3	2211.4498	0.5102	0.21	0.0122	0.0316
GLRX5	1572.9052	0.6489	0.2053	0.0011	0.0039
GLS	2147.2447	-0.4059	0.2238	0.0603	0.123
GLS2	9.7956	0.3479	0.7817	0.4229	0.5684
GLT1D1	0.9729	-0.1275	0.9496	0.492	NA
