gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
STAM	920.5264	-1.5395	0.252	0.0	0.0
STAP2	616.2326	1.0546	0.2726	0.0	0.0002
STARD10	623.3345	1.0844	0.2766	0.0	0.0002
STARD13	484.3603	-2.1384	0.271	0.0	0.0
STARD4-AS1	9.9645	-1.0427	0.9619	0.0087	0.0237
STARD8	533.4616	-1.7662	0.3019	0.0	0.0
STBD1	192.9528	-1.8425	0.4082	0.0	0.0
STIL	1054.7396	-1.8337	0.2518	0.0	0.0
STK17A	829.5291	-1.2762	0.2654	0.0	0.0
STK17B	357.9665	-3.0139	0.3344	0.0	0.0
STK19	164.9418	-1.2036	0.3709	0.0003	0.0013
STK35	776.3202	-2.2767	0.2453	0.0	0.0
STMN3	1116.5534	1.0114	0.2516	0.0	0.0001
STPG1	247.1888	-1.0732	0.3208	0.0003	0.0013
STRIP1	622.4868	-1.0009	0.2528	0.0	0.0002
STRN	889.8744	-1.0755	0.2681	0.0	0.0001
STRN3	464.7412	-2.3215	0.3168	0.0	0.0
STX11	47.4477	-1.2336	0.6268	0.0084	0.0229
STX17	492.3109	-1.0735	0.2963	0.0001	0.0005
STX3	1117.242	-1.0077	0.2295	0.0	0.0
STX6	842.8994	-1.529	0.2324	0.0	0.0
STYK1	125.5715	-1.1498	0.434	0.0024	0.0075
SUMF1	661.1873	1.0224	0.2459	0.0	0.0001
SUOX	89.1758	-1.3647	0.4703	0.0007	0.0025
SUPT20H	678.8687	-1.1463	0.2462	0.0	0.0
SURF1	696.7858	1.0662	0.2392	0.0	0.0
SURF6	1077.4231	-1.151	0.2349	0.0	0.0
SUSD2	59.4375	1.2245	0.5323	0.0046	0.0136
SUV39H1	732.1124	-1.0283	0.2777	0.0001	0.0004
SUV39H2	434.1856	-1.1446	0.2861	0.0	0.0001
SUV420H1	484.7398	-1.1761	0.2705	0.0	0.0
SUZ12	1739.0125	-1.1495	0.2717	0.0	0.0001
SYNGR1	31.4203	1.1499	0.6503	0.0149	0.0376
SYNJ1	342.7552	-1.5842	0.3068	0.0	0.0
SYNRG	508.6465	-1.2302	0.2948	0.0	0.0001
SYT1	55.7401	-1.3082	0.548	0.003	0.0092
TACC2	702.1132	-1.9507	0.2465	0.0	0.0
TADA1	149.1293	-3.1628	0.4504	0.0	0.0
TADA2A	154.9973	-1.0974	0.3719	0.0011	0.0038
TADA2B	714.8038	-1.3785	0.2395	0.0	0.0
TAF11	505.0732	-1.2941	0.2591	0.0	0.0
TAF1A	161.6653	-1.2117	0.389	0.0005	0.0019
TAF3	352.5251	-1.306	0.2994	0.0	0.0
TAF4	549.2332	-1.7701	0.2577	0.0	0.0
TAF5	239.4156	-1.5875	0.3575	0.0	0.0
TAF5L	743.64	-1.4998	0.2436	0.0	0.0
TAF8	648.4458	-1.4891	0.2548	0.0	0.0
TAGLN2	24810.634	1.0582	0.1855	0.0	0.0
TANC1	541.6793	-1.8047	0.26	0.0	0.0
TANC2	1334.3114	-1.0676	0.2132	0.0	0.0
TANK	278.021	-1.5924	0.4098	0.0	0.0001
TAOK1	1634.9494	-2.201	0.2533	0.0	0.0
TBC1D10A	222.2729	-2.0427	0.3683	0.0	0.0
TBC1D12	388.789	-1.4333	0.3093	0.0	0.0
TBC1D14	1068.1148	-1.0175	0.2216	0.0	0.0
TBC1D20	621.6469	-1.6662	0.2735	0.0	0.0
TBC1D22B	525.3194	-2.1468	0.2754	0.0	0.0
TBC1D31	321.1154	-1.0791	0.2991	0.0001	0.0005
TBC1D4	1306.9699	-1.1764	0.2563	0.0	0.0
TBC1D9B	5910.0351	1.0054	0.2201	0.0	0.0
TBCB	2894.8578	1.0297	0.2154	0.0	0.0
TBCCD1	126.8598	-1.3157	0.4305	0.0005	0.0018
TBCD	3456.3623	1.0172	0.232	0.0	0.0
TBCEL	409.5225	-1.2547	0.3452	0.0001	0.0004
TBK1	470.3133	-2.2774	0.4093	0.0	0.0
TBL1XR1	1750.2035	-1.0548	0.2956	0.0001	0.0006
TBP	414.3047	-2.1227	0.2975	0.0	0.0
TBPL1	153.257	-2.7254	0.4325	0.0	0.0
TBX1	97.7568	-1.6097	0.4877	0.0001	0.0004
TCEA2	554.8162	1.0702	0.2979	0.0001	0.0006
TCEANC2	149.0878	-1.7315	0.4143	0.0	0.0
TCEB2	4359.6817	1.3108	0.2389	0.0	0.0
TCF20	787.1456	-1.65	0.2382	0.0	0.0
TCF7L2	285.9501	-1.9414	0.315	0.0	0.0
TCHP	824.0379	-1.037	0.2433	0.0	0.0001
TCN2	148.6417	1.3102	0.385	0.0002	0.0007
TCTN1	327.2158	1.2041	0.2967	0.0	0.0001
TDG	588.3293	-2.1589	0.3025	0.0	0.0
TDRD3	172.9219	-1.0236	0.3739	0.0024	0.0077
TEAD1	4203.2359	-1.1398	0.2096	0.0	0.0
TEAD3	883.7218	-1.2501	0.2479	0.0	0.0
TEC	83.9329	-1.6173	0.4848	0.0001	0.0004
TECPR2	513.0963	-1.1738	0.2634	0.0	0.0
TECR	3671.656	1.1139	0.2163	0.0	0.0
TEFM	178.8521	-1.5617	0.4144	0.0	0.0001
TERF2	309.7114	-1.386	0.2991	0.0	0.0
