Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Inhibition,Compound Concentration (nM)
MEL-0495(R)Pharmaron-2nd Batch,DMPK2,CDC42BPG,14,1000
MEL-0495(R)Pharmaron-2nd Batch,DRAK1,STK17A,97.4,1000
MEL-0495(R)Pharmaron-2nd Batch,DRAK2,STK17B,96.9,1000
MEL-0495(R)Pharmaron-2nd Batch,DYRK1A,DYRK1A,40,1000
MEL-0495(R)Pharmaron-2nd Batch,DYRK1B,DYRK1B,54,1000
MEL-0495(R)Pharmaron-2nd Batch,DYRK2,DYRK2,47,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR,EGFR,26,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR(E746-A750del),EGFR,33,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR(G719C),EGFR,0,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR(G719S),EGFR,19,1000
MEL-0495(R)Pharmaron-2nd Batch,"EGFR(L747-E749del, A750P)",EGFR,47,1000
MEL-0495(R)Pharmaron-2nd Batch,"EGFR(L747-S752del, P753S)",EGFR,27,1000
MEL-0495(R)Pharmaron-2nd Batch,"EGFR(L747-T751del,Sins)",EGFR,19,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR(L858R),EGFR,45,1000
MEL-0495(R)Pharmaron-2nd Batch,"EGFR(L858R,T790M)",EGFR,72,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR(L861Q),EGFR,30,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR(S752-I759del),EGFR,15,1000
MEL-0495(R)Pharmaron-2nd Batch,EGFR(T790M),EGFR,0,1000
MEL-0495(R)Pharmaron-2nd Batch,EIF2AK1,EIF2AK1,23,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHA1,EPHA1,48,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHA2,EPHA2,19,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHA3,EPHA3,46,1000
MEL-0495(R)Pharmaron-2nd Batch,EPHA4,EPHA4,27,1000
