xName,size
FGFR2,42.39239239239239
FGFR3,37.18718718718719
FGFR3,34.78478478478478
FGFR4,39.18918918918919
FGR,31.18118118118118
FLT1,46.7967967967968
FLT3,42.792792792792795
FLT3,36.78678678678679
FLT3,19.969969969969966
FLT3,26.376376376376378
FLT3,25.575575575575574
FLT3,13.963963963963964
FLT3,12.082082082082081
FLT3,41.591591591591595
FLT3,38.38838838838839
FLT3,34.38438438438438
FLT3,47.5975975975976
FLT4,44.394394394394396
FRK,42.792792792792795
FYN,34.78478478478478
GAK,28.37837837837838
EIF2AK4,47.1971971971972
GRK1,43.993993993993996
ADRBK1,50.0
ADRBK2,41.191191191191194
GRK4,44.394394394394396
GRK7,43.993993993993996
GSK3A,11.16116116116116
GSK3B,12.882882882882882
GSG2,13.883883883883884
HCK,37.98798798798799
HIPK1,19.969969969969966
HIPK2,29.97997997997998
HIPK3,31.58158158158158
HIPK4,33.18318318318318
MAP4K1,46.3963963963964
HUNK,47.1971971971972
ICK,17.967967967967965
IGF1R,45.1951951951952
CHUK,24.374374374374373
IKBKB,28.37837837837838
IKBKE,36.38638638638639
INSR,33.18318318318318
INSRR,41.991991991991995
IRAK1,19.569569569569566
IRAK3,25.175175175175173
IRAK4,33.18318318318318
ITK,43.993993993993996
JAK1,26.776776776776778
JAK1,36.38638638638639
JAK2,17.967967967967965
JAK3,19.969969969969966
MAPK8,13.083083083083082
MAPK9,31.98198198198198
MAPK10,15.165165165165165
KIT,34.38438438438438
KIT,34.38438438438438
KIT,33.18318318318318
KIT,30.78078078078078
KIT,21.17117117117117
KIT,33.58358358358358
KIT,35.18518518518518
KIT,46.7967967967968
KIT,27.57757757757758
LATS1,35.98598598598599
LATS2,37.58758758758759
LCK,27.177177177177178
LIMK1,49.5995995995996
LIMK2,44.394394394394396
STK11,41.191191191191194
STK10,21.97197197197197
LRRK2,49.1991991991992
LRRK2,39.18918918918919
LTK,42.792792792792795
LYN,41.191191191191194
MAP3K13,47.997997997998
MAK,32.78278278278278
MAP3K1,50.0
MAP3K15,47.1971971971972
MAP3K2,36.78678678678679
MAP3K3,41.591591591591595
MAP3K4,35.98598598598599
MAP4K2,24.774774774774773
MAP4K3,45.1951951951952
MAP4K4,36.78678678678679
MAP4K5,42.792792792792795
MAPKAPK2,50.0
MAPKAPK5,50.0
MARK1,37.98798798798799
MARK2,30.78078078078078
MARK3,36.78678678678679
MARK4,37.98798798798799
MAST1,36.78678678678679
MAP2K1,50.0
MAP2K2,44.7947947947948
MAP2K3,23.173173173173172
MAP2K4,45.1951951951952
MAP2K5,25.975975975975974
MAP2K6,18.368368368368365
MELK,41.991991991991995
MERTK,45.1951951951952
MET,48.3983983983984
MET,36.38638638638639
MET,41.591591591591595
MINK1,35.585585585585584
MAP2K7,48.3983983983984
MKNK1,45.1951951951952
MKNK2,35.98598598598599
MYLK3,27.177177177177178
MAP3K9,40.790790790790794
MAP3K10,34.78478478478478
MAP3K11,38.38838838838839
CDC42BPA,41.991991991991995
CDC42BPB,45.5955955955956
STK4,48.3983983983984
MST1R,39.58958958958959
STK3,31.98198198198198
STK24,33.18318318318318
MST4,39.98998998998999
MTOR,35.585585585585584
MUSK,36.38638638638639
MYLK,36.38638638638639
MYLK2,33.98398398398398
MYLK4,24.774774774774773
MYO3A,43.993993993993996
MYO3B,47.997997997998
STK38,39.58958958958959
STK38L,40.790790790790794
NEK1,17.567567567567565
NEK10,31.98198198198198
NEK11,50.0
NEK2,38.78878878878879
NEK3,45.995995995996
NEK4,50.0
NEK5,41.991991991991995
NEK6,38.78878878878879
NEK7,48.7987987987988
NEK9,42.39239239239239
MAP3K14,31.18118118118118
MGC42105,50.0
NLK,35.585585585585584
OXSR1,41.191191191191194
MAPK14,37.58758758758759
MAPK11,38.38838838838839
MAPK13,38.78878878878879
MAPK12,36.38638638638639
PAK1,19.169169169169166
PAK2,21.57157157157157
PAK3,33.58358358358358
PAK4,35.18518518518518
PAK6,41.591591591591595
PAK7,31.18118118118118
CDK16,47.997997997998
CDK17,40.390390390390394
CDK18,39.98998998998999
PDGFRA,39.98998998998999
PDGFRB,27.57757757757758
PDPK1,35.98598598598599
CDPK1,12.002002002002001
MAL13P1.279,31.98198198198198
CDK15,35.18518518518518
CDK14,29.57957957957958
PHKG1,14.764764764764765
PHKG2,32.78278278278278
PIK3C2B,33.18318318318318
PIK3C2G,28.37837837837838
PIK3CA,50.0
PIK3CA,48.3983983983984
PIK3CA,45.5955955955956
PIK3CA,41.191191191191194
PIK3CA,34.38438438438438
PIK3CA,50.0
PIK3CA,49.1991991991992
PIK3CA,36.38638638638639
PIK3CA,31.58158158158158
PIK3CA,47.1971971971972
PIK3CB,32.78278278278278
PIK3CD,33.18318318318318
PIK3CG,43.593593593593596
PI4KB,47.5975975975976
PIKFYVE,41.991991991991995
PIM1,18.768768768768766
PIM2,12.282282282282281
PIM3,17.167167167167165
PIP5K1A,21.97197197197197
PIP5K1C,16.766766766766764
PIP4K2B,45.1951951951952
PIP4K2C,21.97197197197197
PRKACA,45.995995995996
PRKACB,42.792792792792795
PKMYT1,41.591591591591595
PKN1,11.641641641641641
PKN2,16.366366366366364
pknB,25.175175175175173
PLK1,50.0
PLK2,50.0
PLK3,43.993993993993996
PLK4,50.0
PRKCD,41.991991991991995
PRKCE,35.585585585585584
PRKCH,27.57757757757758
PRKCI,46.7967967967968
PRKCQ,35.98598598598599
PRKD1,31.18118118118118
PRKD2,37.18718718718719
PRKD3,32.38238238238238
PRKG1,42.39239239239239
PRKG2,15.965965965965966
EIF2AK2,16.366366366366364
PRKX,29.97997997997998
PRPF4B,36.38638638638639
PTK2B,39.58958958958959
KIAA0999,33.18318318318318
RAF1,40.790790790790794
RET,41.991991991991995
RET,44.394394394394396
RET,41.991991991991995
RET,39.18918918918919
RIOK1,37.58758758758759
RIOK2,32.38238238238238
RIOK3,33.98398398398398
RIPK1,39.58958958958959
RIPK2,39.98998998998999
RIPK4,41.191191191191194
DSTYK,50.0
ROCK1,40.390390390390394
ROCK2,47.997997997998
ROS1,29.57957957957958
RPS6KA4,38.78878878878879
RPS6KA4,50.0
RPS6KA5,37.58758758758759
RPS6KA5,44.394394394394396
RPS6KA1,50.0
RPS6KA1,27.57757757757758
RPS6KA3,30.38038038038038
RPS6KA3,39.98998998998999
RPS6KA2,41.991991991991995
RPS6KA2,33.98398398398398
RPS6KA6,45.5955955955956
RPS6KA6,29.97997997997998
RPS6KB1,41.591591591591595
SBK1,49.1991991991992
SGK1,43.193193193193196
SgK110,50.0
SGK2,38.78878878878879
SGK3,43.193193193193196
SIK1,42.39239239239239
SIK2,47.997997997998
SLK,41.191191191191194
