cell_line_display_name,gene_exp_cat,Cell Line Name,OTS964_0.004572 uM,OTS964_0.01372 uM,OTS964_0.04115 uM,OTS964_0.1235 uM,OTS964_0.3704 uM,OTS964_1.111 uM,OTS964_10.0 uM,OTS964_3.333 uM
SUM159PT,Medium Expression,SUM159PT,-0.223156854,0.073206981,-0.165247265,-3.401979471,-3.679235045,-3.907247165,-3.396003798,-3.637748144
TC106,High Expression,TC106,0.063533974,-0.033893171,-0.915177657,-2.736705312,-3.453115196,-4.284509548,-4.642969609,-3.191836065
TC205,High Expression,TC205,-0.119483426,-0.227752559,-0.338117762,-2.180029657,-2.891605711,-3.381623464,-4.032569712,-3.11914669
TGBC1TKB,Medium Expression,TGBC1TKB,-0.060944136,0.248898864,-0.273790202,-2.420565064,-3.013663359,-3.473042245,-3.297487723,-3.770840491
TGBC52TKB,Medium Expression,TGBC52TKB,0.099012373,-0.108186806,0.135084881,-0.958920191,-3.368762206,-3.40156439,-3.178860819,-2.914732314
TM87,High Expression,TM87,0.076175708,-0.510982465,-0.577693015,-2.895277054,-4.00498463,-3.917026812,-4.282397579,-4.207378287
TTC1240,High Expression,TTC1240,-0.090868316,-0.100092054,-0.488298604,-3.178093884,-3.923148122,-3.76866685,-3.348865692,-3.541839419
TTC442,High Expression,TTC442,-0.139028208,0.364315705,-0.626439863,-1.523942404,-3.125509648,-3.247380276,-2.90773182,-3.401921203
TTC549,High Expression,TTC549,0.165806047,-0.222360785,0.314531062,-3.221169833,-3.651659698,-3.683448148,-3.756421616,-3.476647607
TTC709,High Expression,TTC709,-0.30601021,-0.285432848,-0.223572193,-2.927054905,-4.14338896,-4.360809071,-4.272499774,-4.379407142
U178,High Expression,U178,-0.090768263,-0.054578151,0.035285692,-2.492487858,-3.984577906,-5.072515438,-4.720284549,-3.962473907
U343,Medium Expression,U343,0.039444876,-0.575386883,-1.133415369,-4.296736934,-3.328014046,-4.959684943,-3.778685012,-3.809410732
UO31,Medium Expression,UO31,0.256658159,-0.280023502,-0.198590862,-1.802806646,-3.703350826,-4.413275806,-4.307820742,-4.135165009
UW228,High Expression,UW228,0.084754356,0.087740458,-0.017428239,-2.075130151,-3.557372147,-4.103029956,-4.315773746,-4.200493079
WM88,High Expression,WM88,-0.353780819,-0.050948309,0.057502081,-1.134751034,-4.546153988,-4.396825477,-4.591656743,-4.987478448
WM983B,High Expression,WM983B,4.23e-05,-0.010463465,-0.271944892,-1.668516665,-3.580420472,-4.130841454,-4.373280697,-3.870684368
NZOV9,Medium Expression,NZOV9,0.124532021,-0.570366296,0.526972153,-1.147134509,-2.457634949,-3.100203696,-2.304925654,-2.210927193
WM2664,Medium Expression,WM2664,-0.177577223,-0.269844279,0.3344263,-1.648169277,-2.951556999,-2.480398641,-3.002676119,-3.93538411
C80,High Expression,C80,-0.374174245,-0.216692538,-0.387243893,-2.203596422,-3.907571517,-3.972471741,-3.896165456,-3.357846065
SKNO1,High Expression,SKNO1,-0.286772221,0.022594539,-0.527678999,-2.715566788,-4.045541003,-4.229888604,-4.258718743,-4.468616597
SNUC4,High Expression,SNUC4,-0.489366151,0.253093117,-0.281152533,-1.639178856,-3.814392367,-4.153437739,-4.280008953,-3.560577072
SNU245,Medium Expression,SNU245,-0.753749108,-0.188070452,-0.426849726,-0.981101321,-3.090577777,-4.865253708,-3.266382539,-3.334682665
SNU668,Medium Expression,SNU668,-0.01095624,-0.638328397,-0.230377523,-1.73627752,-3.943633959,-3.751067476,-3.404350719,-4.080637238
PEA1,High Expression,PEA1,-0.252767554,0.092772184,-0.104994701,-1.820777133,-2.857285667,-3.544851102,-4.051831421,-4.063234222
SHMAC5,High Expression,SHMAC5,0.068018739,-0.00899479,-0.875745474,-3.075022033,-2.97635275,-3.564474723,-4.492578596,-3.608673731
SNU1041,Medium Expression,SNU1041,0.048185462,0.141754528,-0.600296726,-0.679067976,-4.539016212,-3.894782492,-4.692731045,-5.046525412
SNU1066,Medium Expression,SNU1066,0.320229776,-0.582288012,-0.369838204,-3.18684348,-3.485117587,-2.949538133,-2.843316426,-3.890037613
SNU1076,High Expression,SNU1076,-0.140778894,0.175600097,0.354426449,-1.02177273,-5.820198317,-3.717809924,-5.322305134,-2.79038845
SNU1077,Medium Expression,SNU1077,-0.435832373,0.472622329,-1.967250609,-1.07137258,-2.511546841,-3.482362489,-3.198218889,-3.406021726
FLO1,High Expression,FLO1,-0.149812423,0.101371654,0.090617679,-1.929388237,-3.483119429,-4.131333822,-3.646044995,-4.19714209
SKGT4,Medium Expression,SKGT4,0.317819031,-0.324241633,-0.391023413,-0.812902174,-2.7244691,-3.130294689,-4.044758442,-2.929238164
SKGT2,High Expression,SKGT2,0.181866867,-0.036828257,-0.368179783,-3.998498297,-4.485451904,-4.12731015,-4.945717199,-4.109467086
SNU1105,High Expression,SNU1105,0.340850257,0.276626888,0.105848476,-3.299695362,-3.701535425,-5.153646406,-5.510456782,-3.841069048
SNU1196,High Expression,SNU1196,0.058324266,0.225843282,0.168066571,-1.221876706,-2.511920174,-2.908345829,-2.509536105,-2.168223471
SNU1214,Medium Expression,SNU1214,0.049560207,0.193023271,-0.139423918,-2.625722511,-3.868293359,-4.174241243,-4.650180774,-3.896432033
921,High Expression,921,0.105370667,-0.880862044,0.005141324,-0.605584019,-3.373935511,-3.494761018,-4.31923605,-2.948140291
8305C,Medium Expression,8305C,-0.164207902,0.070482976,0.271464356,-3.666234143,-3.27910591,-3.680116887,-3.698776805,-3.812941688
SNU1544,High Expression,SNU1544,-0.373468786,0.202550924,-0.486434071,-1.771771374,-2.247934331,-2.353615301,-2.707027672,-2.320629051
SNU201,High Expression,SNU201,-0.806042426,-0.132199077,-0.15427153,-1.711927015,-2.787338173,-3.165943876,-2.935682535,-4.033826609
SNU213,High Expression,SNU213,0.075239916,-0.160901067,0.24719872,-1.187972039,-4.184892641,-4.494755892,-4.613507807,-5.145771946
SNU216,High Expression,SNU216,-0.413083934,0.101308731,-0.16071451,-1.960370209,-2.719173947,-3.405759255,-4.844678078,-3.881822121
S117,High Expression,S117,-0.179299812,-0.007802464,0.037783689,-1.829143013,-3.405343837,-3.84143195,-3.992138059,-3.666443706
BCPAP,High Expression,BCPAP,0.254021731,0.206573722,-0.097775566,-1.549662168,-3.45260108,-4.19089579,-3.888308384,-3.7011698
BHT101,High Expression,BHT101,-0.023307487,0.353678696,0.19192207,-2.964948335,-3.756216646,-3.746733393,-3.677568578,-3.290865539
JURKAT,High Expression,JURKAT,0.682111903,-0.419192195,-0.162787532,-1.697769045,-3.277056885,-4.099165587,-4.242364185,-3.288104292
MOLT16,High Expression,MOLT16,0.410806286,0.082059056,0.01940471,-4.060213361,-3.428633163,-4.384236883,-4.708726149,-4.107661424
RPMI8402,High Expression,RPMI8402,0.395977797,0.027183157,0.269655797,-0.776746678,-3.791829802,-5.376340057,-3.412832422,-3.672374365
SNU308,High Expression,SNU308,-0.265858496,-0.003240642,-0.223783128,-2.1203066,-3.28820077,-2.962448866,-2.895967594,-3.348231304
