gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
PCBP1	14232.9675	2.0522	0.0512	0	0
PCBP1-AS1	1.6712	-0.6261	1.1888	0.1922	0.2603
PCBP2	6792.543	0.2297	0.0626	2e-04	5e-04
PCBP2-OT1	1.6922	0.337	1.1592	0.4962	0.5804
PCBP4	491.0754	0.5994	0.1593	1e-04	3e-04
PCCA	253.7102	0.6058	0.208	0.0031	0.0057
PCCB	1974.1418	1.2204	0.0867	0	0
PCDH1	172.2981	-0.3634	0.2649	0.1593	0.2208
PCDH10	49.2272	1.3261	0.4618	0.0018	0.0035
PCDH12	3.3568	2e-04	1.0329	0.9997	0.9998
PCDH15	0.5141	0.0592	1.2461	0.8552	NA
PCDH17	20.0239	-0.0189	0.6443	0.9724	0.9791
PCDH18	42.1497	1.7642	0.5191	2e-04	3e-04
PCDH19	12.1727	-5e-04	0.7586	0.9994	0.9997
PCDH20	168.3045	0.7473	0.2813	0.0062	0.0111
PCDH7	1331.4131	1.2845	0.1052	0	0
PCDP1	1.1439	0.291	1.1942	0.5119	NA
PCED1A	219.8912	-0.467	0.2308	0.0391	0.0621
PCED1B	14.5142	-2.1404	1.1363	0.0012	0.0022
PCED1B-AS1	0.3414	0.1455	1.2516	0.6422	NA
PCF11	495.8275	-1.4231	0.1762	0	0
PCGF1	86.523	-3.4814	0.4558	0	0
PCGF2	1159.5931	-0.4328	0.112	1e-04	2e-04
PCGF3	718.6748	-1.1299	0.138	0	0
PCGF5	1201.7602	0.1463	0.1107	0.1842	0.2508
PCGF6	288.0675	-0.8394	0.2127	1e-04	1e-04
PCID2	866.9479	0.0869	0.1194	0.4643	0.5493
PCIF1	433.5753	-1.273	0.1748	0	0
PCK2	806.4571	0.714	0.1286	0	0
PCLO	1.7768	-0.1542	1.1263	0.7693	0.8235
PCM1	1451.1071	-0.5455	0.1049	0	0
PCMT1	1274.1859	0.4358	0.1055	0	1e-04
PCMTD1	57.8171	-0.6623	0.4297	0.0985	0.1438
PCMTD2	162.6891	-1.8231	0.2795	0	0
PCNA	2602.8204	-0.8535	0.0779	0	0
PCNA-AS1	433.5576	-0.5622	0.1737	0.0011	0.0021
PCNP	2692.5816	0.752	0.0808	0	0
PCNT	1048.8025	-0.9615	0.113	0	0
PCNX	616.6104	-0.9129	0.142	0	0
PCNXL2	89.8506	0.4649	0.3432	0.1571	0.2182
PCNXL3	3036.8797	1.0974	0.0728	0	0
PCNXL4	612.3966	-1.8519	0.1535	0	0
PCOLCE	2282.4596	1.5002	0.0895	0	0
PCOLCE-AS1	9.6751	1.4665	0.896	0.0219	0.0362
PCOLCE2	39.392	1.9407	0.5177	0	1e-04
PCP2	0.3651	-0.1017	1.2488	0.7494	NA
PCP4	64.0006	0.9554	0.3969	0.0106	0.0184
PCSK1N	98.3091	1.8488	0.3378	0	0
PCSK4	26.9115	0.1778	0.5708	0.7239	0.7858
PCSK5	592.5999	1.2511	0.1455	0	0
PCSK6	48.8991	1.4466	0.4704	8e-04	0.0016
PCSK7	1796.0912	0.9459	0.0985	0	0
PCSK9	725.4153	1.3113	0.1315	0	0
PCTP	136.33	-0.7215	0.2863	0.0094	0.0164
PCYOX1	2466.5108	0.9612	0.0789	0	0
PCYOX1L	74.8233	1.2648	0.3797	4e-04	9e-04
PCYT1A	231.6167	-1.2272	0.2283	0	0
PCYT1B	6.1844	0.1168	0.912	0.8508	0.89
PCYT2	517.4112	-0.133	0.153	0.3808	0.4655
PDAP1	5524.9682	1.0322	0.0604	0	0
PDCD10	319.9935	-2.063	0.2127	0	0
PDCD11	2188.4705	-0.5378	0.094	0	0
PDCD2	1055.566	0.4262	0.1103	1e-04	2e-04
PDCD2L	114.011	-1.8012	0.3464	0	0
PDCD4	181.4339	-0.6627	0.263	0.0097	0.0169
PDCD4-AS1	7.1179	0.6634	0.887	0.2888	0.3701
PDCD5	1377.2469	0.9007	0.0984	0	0
PDCD6	1647.0604	0.6373	0.0918	0	0
PDCD6IP	2442.0869	0.3976	0.0792	0	0
