gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ZNF569	187.7789	0.008	0.1019	0.8204	0.9851
ZNF57	78.4952	-0.009	0.1062	0.7406	0.9761
ZNF570	50.8248	0.0188	0.1091	0.4028	0.9185
ZNF571	34.1806	0.0033	0.1089	0.8687	0.9889
ZNF571-AS1	0.2609	9e-04	0.1202	0.7456	NA
ZNF572	34.1326	0.0115	0.1096	0.5515	0.9489
ZNF573	39.7688	0.0261	0.1113	0.1943	0.8697
ZNF574	660.4548	0.061	0.0987	0.1654	0.8611
ZNF575	26.9378	-0.0053	0.1099	0.7616	0.9791
ZNF576	323.9798	-0.0106	0.1011	0.7717	0.9796
ZNF577	100.2603	-0.0347	0.1075	0.2433	0.886
ZNF578	33.6332	0.0106	0.1093	0.5943	0.9562
ZNF579	681.2655	-0.0039	0.0985	0.9235	0.9934
ZNF580	460.7852	-0.2211	0.2037	2e-04	0.1378
ZNF581	347.6529	-0.0301	0.1017	0.4198	0.9204
ZNF582	5.1401	0.006	0.1126	0.4754	0.9312
ZNF582-AS1	2.4696	0.0039	0.1137	0.5236	NA
ZNF583	71.9404	0.0078	0.1065	0.7686	0.9791
ZNF584	246.5125	-0.0426	0.1035	0.246	0.8873
ZNF585A	154.8039	-0.0363	0.1056	0.2692	0.8901
ZNF585B	260.5841	0.0281	0.1018	0.446	0.9232
ZNF586	149.9691	0.0128	0.1034	0.6983	0.9722
ZNF587	417.6237	0.0587	0.1054	0.1221	0.8315
ZNF587B	163.6327	0.0092	0.1028	0.7847	0.9821
ZNF589	97.1805	-0.0021	0.1052	0.9419	0.9947
ZNF592	1650.4428	0.0838	0.1007	0.067	0.7786
ZNF593	633.8292	-0.0161	0.0982	0.6934	0.9717
ZNF594	151.671	0.0481	0.109	0.1288	0.8462
ZNF595	179.9038	0.0203	0.1029	0.5545	0.95
ZNF596	41.6784	0.0212	0.1099	0.3199	0.9
ZNF597	46.5528	0.0099	0.1088	0.6395	0.9658
ZNF598	1619.9309	0.0879	0.0979	0.0652	0.7747
ZNF599	53.2558	-0.0048	0.1083	0.8261	0.9853
ZNF600	157.3855	0.0135	0.1037	0.6775	0.9708
ZNF605	247.1054	0.0243	0.1033	0.4778	0.932
ZNF606	122.5856	-0.0151	0.1044	0.6306	0.964
ZNF607	258.1848	0.0198	0.1005	0.6019	0.9581
ZNF608	640.349	0.0537	0.1028	0.1726	0.8611
ZNF609	1065.9462	0.0556	0.1042	0.148	0.8598
ZNF610	35.856	0.0087	0.1092	0.6589	0.969
ZNF611	233.626	0.0614	0.1125	0.0598	0.7686
ZNF613	102.4439	2e-04	0.1054	0.9938	0.9988
ZNF614	365.7793	0.0291	0.1001	0.4574	0.9254
ZNF615	200.0637	0.0324	0.1051	0.3232	0.9
ZNF616	230.9159	0.0459	0.104	0.2119	0.8773
ZNF618	946.8142	0.0448	0.1034	0.2282	0.8832
ZNF619	78.7467	-9e-04	0.1076	0.9696	0.9956
ZNF620	163.1755	-0.0019	0.1043	0.9512	0.9956
ZNF621	570.4908	0.0408	0.1009	0.3009	0.8992
ZNF622	669.9467	0.0224	0.0959	0.6074	0.9581
ZNF623	367.2427	0.0731	0.1105	0.0531	0.7576
ZNF624	120.3268	0.0106	0.1045	0.7301	0.9759
ZNF625	86.5872	0.0472	0.1129	0.0779	0.8033
ZNF627	290.0267	6e-04	0.1001	0.9883	0.9972
ZNF628	390.4853	0.043	0.1006	0.2829	0.8965
ZNF629	900.724	0.0654	0.1021	0.1191	0.8308
ZNF630	12.5355	-0.0044	0.1112	0.7248	0.9755
ZNF638	1962.9688	0.0709	0.0975	0.1224	0.8315
ZNF638-IT1	9.3473	0.0208	0.1202	0.044	0.7463
ZNF639	420.5241	-0.011	0.0982	0.787	0.9832
ZNF641	251.2143	-0.0109	0.1012	0.7644	0.9791
ZNF644	923.8089	-0.0307	0.0973	0.4701	0.9294
ZNF646	461.6347	0.0936	0.1196	0.0171	0.6309
ZNF648	0.6878	-0.0019	0.1209	0.5398	NA
ZNF649	430.8484	0.0292	0.1004	0.4511	0.9232
ZNF652	681.9	0.0099	0.0981	0.8074	0.9839
ZNF653	161.4634	-0.027	0.1039	0.4234	0.9204
ZNF654	310.1772	0.0127	0.1005	0.735	0.976
ZNF655	593.4275	-0.0782	0.1028	0.0736	0.7897
ZNF658	134.2968	0.0344	0.1055	0.2903	0.8981
ZNF658B	65.0098	-0.032	0.1096	0.2122	0.8773
ZNF660	166.2983	0.0089	0.1034	0.7845	0.9821
ZNF662	4.9995	0.0011	0.1121	0.9005	0.9908
ZNF664	3361.2573	0	0.0938	0.9992	0.9994
ZNF665	59.8294	0.0178	0.1087	0.4384	0.9227
ZNF668	512.499	0.0299	0.0975	0.4796	0.932
ZNF669	110.1791	-0.0028	0.1045	0.9255	0.9934
ZNF670	112.6604	-0.0249	0.1061	0.4013	0.9185
ZNF670-ZNF695	4.5999	-0.0066	0.1129	0.4135	NA
ZNF671	112.3037	-0.0031	0.1051	0.9151	0.9932
ZNF672	1033.737	-0.0257	0.0943	0.5707	0.9544
ZNF674	65.5406	-0.0276	0.1091	0.27	0.8902
ZNF674-AS1	76.5382	-0.0189	0.1068	0.4874	0.9323
ZNF675	142.6629	0.0296	0.1059	0.3405	0.9036
ZNF678	273.4679	-0.0128	0.1013	0.726	0.9758
ZNF680	232.73	-0.005	0.101	0.8919	0.9899
ZNF681	149.1755	0.0111	0.1032	0.7376	0.9761
ZNF682	70.7073	-0.0034	0.1064	0.8982	0.9907
ZNF683	0.7619	0.0011	0.1168	0.7554	NA
ZNF684	48.3734	-0.0067	0.1083	0.7617	0.9791
ZNF687	414.3627	0.0518	0.1001	0.2133	0.8774
ZNF688	118.7395	-0.0586	0.1131	0.0597	0.7686
ZNF689	439.0106	0.0053	0.0975	0.8978	0.9907
ZNF69	313.3835	0.058	0.1031	0.1457	0.8598
ZNF691	207.6965	-0.0056	0.1031	0.8663	0.9887
ZNF692	368.8508	0.0205	0.0993	0.6048	0.9581
ZNF695	70.8767	-0.0161	0.107	0.542	0.9465
ZNF696	314.2307	0.0861	0.1104	0.0368	0.7457
ZNF697	142.4071	0.0211	0.1049	0.4986	0.9354
ZNF699	119.0393	0.0539	0.1151	0.0482	0.7463
ZNF7	366.1316	0.0145	0.0985	0.719	0.9753
ZNF70	142.7548	0.024	0.1054	0.437	0.9227
ZNF700	271.9076	0.0056	0.1007	0.8802	0.9899
ZNF701	131.9079	0.0151	0.1043	0.6309	0.964
ZNF702P	153.0869	0.026	0.1052	0.4089	0.9187
ZNF703	243.8517	0.0304	0.1018	0.4122	0.9201
ZNF704	1807.7343	0.0824	0.1077	0.0485	0.7463
ZNF705E	0.2393	-7e-04	0.1199	0.7982	NA
ZNF706	840.5707	-0.0532	0.1002	0.2029	0.8743
ZNF707	180.2271	0.0564	0.1084	0.1045	0.8247
ZNF708	112.6957	0.0064	0.1059	0.8181	0.985
ZNF709	123.3169	-0.0118	0.1044	0.7035	0.9724
ZNF71	218.1802	0.0198	0.1021	0.5785	0.9552
ZNF710	265.6128	0.0352	0.1018	0.3508	0.9072
ZNF711	91.2544	0.0322	0.1077	0.2618	0.89
ZNF713	23.38	-0.0068	0.1104	0.6671	0.9694
ZNF714	239.7038	0.0325	0.1053	0.3182	0.9
ZNF717	27.614	0.0128	0.1106	0.4445	0.9232
ZNF718	78.1134	0.0114	0.1084	0.6116	0.9585
ZNF720	132.3776	-0.0119	0.1038	0.7103	0.9731
ZNF721	402.5945	0.0306	0.1006	0.4292	0.9207
ZNF724P	15.4611	0.0173	0.1123	0.2135	0.8774
ZNF736	44.7558	0.0313	0.1137	0.085	0.807
ZNF737	185.319	0.0127	0.1049	0.6729	0.9707
ZNF738	196.9484	-0.0607	0.1077	0.0965	0.821
ZNF74	607.7279	0.0245	0.098	0.5536	0.9492
ZNF740	629.2836	0.0602	0.0987	0.1701	0.8611
ZNF746	907.438	0.0933	0.1039	0.0415	0.7463
