Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Substantia Nigra Development (GO:0021762)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	LDHA
Water-Soluble Vitamin Metabolic Process (GO:0006767)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	SLC2A1
Regulated Exocytosis (GO:0045055)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	SDF4
Negative Regulation of Biosynthetic Process (GO:0009890)	1/44	0.3993285928544552	0.497379538763493	0	0	2.0022664564446195	1.8380218605733476	KHSRP
Regulation of Nitric Oxide Biosynthetic Process (GO:0045428)	1/45	0.4062543461196727	0.5038653734445349	0	0	1.956664098613251	1.7625157612211695	KHSRP
Collagen Fibril Organization (GO:0030199)	1/45	0.4062543461196727	0.5038653734445349	0	0	1.956664098613251	1.7625157612211695	PLOD3
Positive Regulation of Calcium Ion Transmembrane Transport (GO:1904427)	1/45	0.4062543461196727	0.5038653734445349	0	0	1.956664098613251	1.7625157612211695	PDPK1
Establishment of Protein Localization to Mitochondrion (GO:0072655)	1/45	0.4062543461196727	0.5038653734445349	0	0	1.956664098613251	1.7625157612211695	HSPD1
Protein Localization to Cilium (GO:0061512)	1/45	0.4062543461196727	0.5038653734445349	0	0	1.956664098613251	1.7625157612211695	EHD1
Negative Regulation of Inflammatory Response (GO:0050728)	2/121	0.4066295238827851	0.5039043803991233	0	0	1.4477382442338638	1.302751267584054	NR1H2;GPS2
Regulation of Cell Differentiation (GO:0045595)	3/201	0.4081654384301523	0.5053805175157122	0	0	1.3056203056203055	1.1699437691794283	SMARCE1;DDX5;GPS2
- Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090101)	2/122	0.4106382408461976	0.5080132161017095	0	0	1.4356028368794327	1.2777477456336224	PDPK1;OVOL2
Regulation of Fibroblast Proliferation (GO:0048145)	1/46	0.41310057814246953	0.508058261373205	0	0	1.9130885122410546	1.6912930365192882	CDK4
Regulation of Interleukin-10 Production (GO:0032653)	1/46	0.41310057814246953	0.508058261373205	0	0	1.9130885122410546	1.6912930365192882	HSPD1
Negative Regulation of Protein Serine/Threonine Kinase Activity (GO:0071901)	1/46	0.41310057814246953	0.508058261373205	0	0	1.9130885122410546	1.6912930365192882	MEN1
Development of Primary Male Sexual Characteristics (GO:0046546)	1/46	0.41310057814246953	0.508058261373205	0	0	1.9130885122410546	1.6912930365192882	CSDE1
Homotypic Cell-Cell Adhesion (GO:0034109)	1/46	0.41310057814246953	0.508058261373205	0	0	1.9130885122410546	1.6912930365192882	FIBP
Positive Regulation of Transcription Elongation by RNA Polymerase II (GO:0032968)	1/46	0.41310057814246953	0.508058261373205	0	0	1.9130885122410546	1.6912930365192882	MED10
Male Gonad Development (GO:0008584)	1/46	0.41310057814246953	0.508058261373205	0	0	1.9130885122410546	1.6912930365192882	CSDE1
Negative Regulation of Cold-Induced Thermogenesis (GO:0120163)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	NR1H2
BMP Signaling Pathway (GO:0030509)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	DDX5
Regulation of Endothelial Cell Apoptotic Process (GO:2000351)	1/47	0.4198681982030134	0.5112348659182872	0	0	1.8714075165806927	1.6240344487157086	PDPK1
