gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LRP6	970.1433	-0.1754	0.1147	0.1233	0.1884
LRP8	2091.6187	0.306	0.0869	4e-04	9e-04
LRPAP1	2936.7611	0.7669	0.0767	0	0
LRPPRC	3923.5341	0.418	0.0784	0	0
LRR1	393.0733	0.1852	0.1737	0.2779	0.377
LRRC1	67.9238	-1.1947	0.3881	7e-04	0.0016
LRRC14	1288.5879	0.6841	0.1052	0	0
LRRC14B	0.2136	-0.042	1.081	0.8578	NA
LRRC15	34.5591	0.3045	0.4818	0.4655	0.5719
LRRC16A	91.0586	-1.2237	0.3549	2e-04	5e-04
LRRC16B	1.7691	0.1581	0.9915	0.6828	0.767
LRRC17	95.169	0.3969	0.3173	0.184	0.2657
LRRC19	1.8805	0.1902	0.974	0.6404	0.7319
LRRC2	1.5939	-0.0639	1.01	0.8588	0.9022
LRRC20	72.2741	-1.9665	0.4271	0	0
LRRC23	70.2645	0.5848	0.3694	0.0854	0.1363
LRRC24	36.6352	1.4255	0.5475	0.0017	0.0037
LRRC27	42.8515	-1.0279	0.4766	0.013	0.0245
LRRC28	100.6143	0.1686	0.3168	0.5721	0.6709
LRRC29	11.9226	0.1612	0.6893	0.7464	0.8187
LRRC3	2.2412	0.0607	0.9432	0.8875	0.9241
LRRC32	0.2146	-0.0423	1.081	0.8565	NA
LRRC37A	25.9655	0.1643	0.5706	0.7228	0.7998
LRRC37A11P	0.3321	0.1	1.0834	0.67	NA
LRRC37A2	45.1733	-0.0379	0.4373	0.9224	0.9489
LRRC37A3	19.1959	-0.5105	0.6102	0.2873	0.3877
LRRC37A4P	167.707	-0.4971	0.2613	0.0475	0.0804
LRRC37A6P	12.2599	0.4318	0.686	0.3881	0.4945
LRRC37B	20.0987	-2.2978	0.8803	1e-04	3e-04
LRRC37BP1	217.7232	-0.5794	0.2276	0.0086	0.0167
LRRC38	0.9037	0.3031	1.0693	0.3217	NA
LRRC39	17.6641	0.8316	0.6498	0.0936	0.1478
LRRC3DN	0.6931	-0.0331	1.0525	0.9099	NA
LRRC4	0.6647	0.1782	1.0805	0.4859	NA
LRRC40	314.8678	-0.0305	0.1855	0.8668	0.9078
LRRC41	2291.1841	-0.2505	0.0937	0.0072	0.0141
LRRC42	441.9303	-0.9422	0.1671	0	0
LRRC45	246.3527	-0.6008	0.2401	0.0096	0.0184
LRRC46	39.0027	0.5208	0.4771	0.2087	0.2952
LRRC47	1667.1143	-1.1612	0.0945	0	0
LRRC48	9.9308	0.1193	0.724	0.812	0.867
LRRC49	155.9953	0.5406	0.2645	0.033	0.0579
LRRC4B	256.5966	-0.59	0.2093	0.0038	0.0078
LRRC4C	2.4041	0.1165	0.9603	0.7794	0.8434
LRRC56	33.9449	-1.3074	0.535	0.0035	0.0073
LRRC57	191.146	-1.6001	0.2608	0	0
LRRC58	1649.2834	-1.3167	0.1045	0	0
LRRC59	8028.83	0.2858	0.0623	0	0
LRRC6	10.2381	0.8943	0.7738	0.0871	0.1387
LRRC63	0.6935	-0.0332	1.0525	0.9096	NA
LRRC66	1.2186	-0.0221	1.0047	0.9517	NA
LRRC69	5.0173	0.913	0.957	0.0714	0.1161
LRRC7	0.7175	-0.1597	1.0748	0.5442	NA
LRRC70	4.9786	0.6605	0.8962	0.1844	0.2661
LRRC73	25.9679	-1.8504	0.6669	3e-04	8e-04
LRRC8A	2716.5481	0.6722	0.0818	0	0
LRRC8B	64.9603	-1.842	0.428	0	0
LRRC8C	263.4803	-0.021	0.2194	0.9217	0.9484
LRRC8D	596.136	-0.169	0.1534	0.2641	0.3618
LRRC8E	143.9986	-1.3103	0.3018	0	0
LRRCC1	168.2579	0.235	0.2476	0.3251	0.4288
LRRFIP1	2013.2767	0.0999	0.0926	0.2783	0.3775
LRRFIP2	733.8313	-0.8555	0.13	0	0
LRRIQ1	13.2152	0.3836	0.6878	0.443	0.55
LRRIQ3	13.8671	0.4559	0.6621	0.3574	0.4625
LRRK1	210.7617	-0.9914	0.2277	0	0
LRRK2	42.0791	-0.4481	0.4543	0.2627	0.3601
LRRN1	0.8127	-0.2257	1.0633	0.4477	NA
LRRN4	1.1646	-0.1504	1.0292	0.6571	NA
LRRN4CL	4.9455	-0.776	0.9634	0.1109	0.1717
LRRTM2	1.0918	0.0598	1.0373	0.8514	NA
LRRTM3	0.3865	-0.0864	1.0811	0.7165	NA
LRSAM1	378.8832	0.1787	0.1705	0.2862	0.3864
LRTM2	1.2375	-2e-04	1.0037	0.9996	NA
LRTOMT	87.9892	0.32	0.3338	0.3055	0.4076
LRWD1	1922.9034	0.3461	0.1086	0.0013	0.0029
LSAMP	56.6871	0.8302	0.4037	0.023	0.0415
LSG1	1113.3673	0.168	0.1159	0.1442	0.2154
LSM1	682.2834	0.7163	0.1349	0	0
LSM10	505.061	-1.2048	0.1718	0	0
LSM11	142.9097	-0.2237	0.2644	0.378	0.4837
LSM12	1517.9281	-0.1433	0.0983	0.1428	0.2136
LSM14A	1411.4809	-1.8082	0.1097	0	0
LSM14B	633.588	-2.0928	0.1682	0	0
LSM2	422.6964	0.5063	0.1696	0.0024	0.005
LSM3	1845.2164	1.2675	0.0903	0	0
LSM4	4685.196	0.663	0.0725	0	0
LSM5	1074.5988	0.7821	0.1271	0	0
LSM6	329.8538	0.328	0.1836	0.0684	0.1118
LSM7	958.6999	0.6586	0.1187	0	0
LSM8	356.4854	-1.1896	0.1825	0	0
LSMEM1	6.5431	-0.2516	0.7979	0.6148	0.7089
LSMEM2	71.9339	1.7717	0.3948	0	0
LSP1	0.8962	-0.0868	1.0404	0.7837	NA
LSR	112.0934	0.3648	0.304	0.2048	0.2907
