gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MOGS	2317.908	0.1757	0.192	0.3523	0.4825
MOK	2046.8746	-0.0093	0.2154	0.9649	0.9778
MON1A	300.3596	-1.4189	0.28	0	0
MON1B	472.1914	-1.4908	0.3452	0	0
MON2	451.8334	-0.6139	0.2879	0.027	0.0573
MORC2	851.8623	-0.2485	0.2819	0.3614	0.4923
MORC2-AS1	13.34	-0.0039	0.787	0.9945	0.996
MORC3	179.884	-2.2812	0.3479	0	0
MORC4	260.3223	0.2298	0.2754	0.3884	0.5189
MORF4L1	5856.3747	0.4283	0.2316	0.0583	0.1108
MORF4L2	4734.1193	0.4524	0.2172	0.0335	0.0689
MORF4L2-AS1	1.5935	-0.4127	1.1349	0.2712	NA
MORN1	89.4668	0.0073	0.5031	0.987	0.991
MORN2	210.7194	0.8679	0.2958	0.0023	0.0065
MORN3	1.9631	-0.5144	1.1337	0.1972	NA
MORN4	101.29	-0.7432	0.386	0.0394	0.0791
MOSPD1	54.8499	-1.3489	0.4922	0.0021	0.0059
MOSPD2	196.7675	-1.5573	0.325	0	0
MOSPD3	199.1184	0.7199	0.3114	0.0158	0.0357
MOV10	975.8179	0.3036	0.2698	0.2454	0.3631
MOXD1	254.0282	1.3543	0.3522	0	2e-04
MPC1	385.5109	0.9536	0.2481	1e-04	3e-04
MPC2	662.0067	0.9102	0.2644	4e-04	0.0013
MPDU1	2686.0897	0.808	0.2168	1e-04	5e-04
MPDZ	696.1663	-0.4947	0.2754	0.0633	0.1187
MPG	1373.8	0.5785	0.2034	0.0038	0.0101
MPHOSPH10	661.1813	-1.8274	0.3457	0	0
MPHOSPH6	289.7488	-0.7444	0.2834	0.0065	0.0164
MPHOSPH8	1366.9845	1.5927	0.2797	0	0
MPHOSPH9	237.9444	-1.6703	0.3152	0	0
MPI	485.9164	0.0605	0.2392	0.7952	0.8657
MPL	1.8962	-0.1003	1.0789	0.8079	NA
MPLKIP	493.4364	0.2389	0.2502	0.3264	0.4552
MPND	127.0737	0.2942	0.3415	0.3641	0.4949
MPP1	154.4288	0.2145	0.3741	0.5416	0.6619
MPP2	353.438	-0.1095	0.2784	0.6841	0.7822
MPP3	41.6017	0.1092	0.5423	0.8167	0.8811
MPP4	137.0077	1.3118	0.3524	1e-04	3e-04
MPP5	543.8517	-1.7792	0.2594	0	0
MPP6	452.2419	-0.681	0.2462	0.0045	0.0118
MPP7	7.993	-0.6179	0.9136	0.2633	0.3847
