gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
SNHG17	905.4664	0.2923	0.1423	0.0013	0.0315
SNHG19	398.7067	0.003	0.1246	0.9671	0.9892
SNHG3	812.221	0.2794	0.139	0.0018	0.0378
SNHG4	123.0889	-0.066	0.1503	0.3338	0.6777
SNHG5	2978.7169	0.0104	0.0884	0.8818	0.9647
SNHG6	1522.2977	0.0485	0.0987	0.5091	0.8002
SNHG7	1969.7958	-0.0353	0.1014	0.6324	0.8635
SNHG8	652.393	-0.0039	0.1125	0.958	0.9859
SNHG9	31.4305	-0.0012	0.166	0.9794	NA
SNIP1	692.5473	0.1223	0.1193	0.1175	0.4189
SNN	284.3117	-0.0838	0.132	0.266	0.6126
SNORA10	1.4719	0.0035	0.1853	0.7664	NA
SNORA18	0.1968	0.0018	0.1897	0.798	NA
SNORA2A	0.5903	0.0046	0.1902	0.5598	NA
SNORA32	0.186	0.0017	0.1896	0.8083	NA
SNORA40	0.1968	0.0018	0.1897	0.798	NA
SNORA41	0.1968	0.0018	0.1897	0.798	NA
SNORA44	0.2602	-0.0022	0.1899	0.758	NA
SNORA45	0.2656	-0.0023	0.1899	0.7528	NA
SNORA48	0.1846	0.0017	0.1896	0.8097	NA
SNORA53	0.2512	-0.0021	0.1899	0.7657	NA
SNORA6	0.2486	-0.0021	0.1899	0.765	NA
SNORA62	0.1968	0.0018	0.1897	0.798	NA
SNORA63	0.2602	-0.0022	0.1899	0.758	NA
SNORA64	0.1968	0.0018	0.1897	0.798	NA
SNORA65	0.3031	0.0023	0.1899	0.7467	NA
SNORA67	0.834	0.0028	0.1869	0.7676	NA
SNORA70	0.6883	0.0066	0.1893	0.465	NA
SNORA71A	0.7807	-0.0066	0.1901	0.4439	NA
SNORA71B	0.259	-0.0022	0.1899	0.7573	NA
SNORA73A	3.8391	0.0231	0.1855	0.2477	NA
SNORA76	0.633	0.0011	0.1875	0.8962	NA
SNORA8	0.1968	0.0018	0.1897	0.798	NA
SNORA81	0.1877	0.0018	0.1896	0.8067	NA
SNORD15B	0.2993	0.0023	0.1899	0.75	NA
SNORD17	14.5179	0.0448	0.1835	0.2121	NA
SNORD88B	0.1968	0.0018	0.1897	0.798	NA
SNPH	240.1628	-0.0866	0.1361	0.2478	0.5946
SNRK	453.9185	-0.0257	0.1168	0.7305	0.9058
SNRK-AS1	20.2298	0.0486	0.1808	0.2424	NA
SNRNP200	10870.3641	0.1013	0.0868	0.1468	0.4658
SNRNP25	1230.243	0.0471	0.1057	0.5282	0.8125
SNRNP27	749.0847	0.1918	0.1319	0.0215	0.1719
SNRNP35	347.3212	0.2647	0.1763	0.0053	0.0742
SNRNP40	1675.8058	0.1159	0.0997	0.1193	0.421
SNRNP48	420.5867	0.0603	0.1187	0.4233	0.7435
SNRNP70	7819.3508	0.1637	0.1935	0.0348	0.2228
SNRPA	2470.6762	0.0578	0.0963	0.4278	0.7457
SNRPA1	1422.4648	-0.0281	0.0971	0.7	0.893
SNRPB	8273.785	0.1368	0.0952	0.0617	0.299
SNRPB2	4625.6836	-0.0504	0.0875	0.4711	0.7773
SNRPC	2189.8647	0.1158	0.0989	0.1186	0.4202
SNRPD1	2134.4467	0.1409	0.0968	0.0563	0.2864
SNRPD2	7169.6071	0.1906	0.0996	0.0114	0.1181
SNRPD3	3474.8032	0.1584	0.0952	0.0309	0.21
SNRPE	3311.6387	0.2089	0.1012	0.006	0.0806
SNRPF	2475.0332	0.1219	0.099	0.1009	0.3852
SNRPG	2878.5973	0.106	0.0907	0.1376	0.4515
SNTA1	188.5894	-0.1513	0.1629	0.0585	0.2921
SNTB1	812.174	-0.4563	0.1672	0	0.0021
SNTB2	5664.9328	0.0149	0.1014	0.8397	0.951
SNUPN	727.616	0.0694	0.1114	0.3581	0.6988
SNW1	1401.2626	0.0684	0.097	0.3497	0.6912
SNX1	2383.7097	-0.0971	0.0921	0.1762	0.5088
SNX10	563.0021	-0.2618	0.1615	0.0048	0.07
SNX11	484.8228	0.0307	0.1139	0.6808	0.886
SNX12	1590.0105	0.024	0.0943	0.7395	0.9107
SNX13	604.5984	0.1226	0.1255	0.1184	0.4202
SNX14	548.9786	-0.0991	0.1172	0.1977	0.537
SNX15	356.9605	0.0038	0.1236	0.9588	0.9864
SNX16	168.1512	-0.0864	0.1475	0.2323	0.5769
SNX17	3247.6495	0.0872	0.0929	0.2265	0.5706
SNX18	720.9218	-0.0042	0.108	0.9548	0.9852
SNX19	2135.9515	0.0356	0.0969	0.6252	0.8593
SNX2	1511.2185	-0.0261	0.0958	0.719	0.9013
SNX21	488.2654	-0.0597	0.1189	0.4278	0.7457
SNX22	74.8812	0.0807	0.1671	0.2064	0.5487
SNX24	486.2566	0.0606	0.1213	0.4198	0.7416
SNX25	763.5991	0.0038	0.1056	0.959	0.9864
SNX27	1765.8785	-0.0713	0.1025	0.3382	0.6808
SNX29	486.3655	-0.1253	0.128	0.1116	0.41
SNX29P1	0.297	0.0023	0.1898	0.752	NA
SNX29P2	1.0424	0.0048	0.1867	0.6344	NA
SNX3	2128.2736	-0.0223	0.0912	0.7543	0.9151
SNX30	1413.8705	0.1608	0.1194	0.044	0.2536
SNX32	0.3888	0.0031	0.1902	0.6746	NA
SNX33	549.6246	-0.0444	0.1127	0.5542	0.8255
SNX4	675.3976	0.0334	0.1107	0.6552	0.8759
SNX5	1906.9246	0.0723	0.0937	0.3169	0.665
SNX6	868.4558	-0.0681	0.1046	0.3624	0.702
SNX7	534.7057	-0.0116	0.1118	0.8769	0.9631
SNX8	1945.8905	-0.0054	0.0979	0.9409	0.981
SNX9	896.9231	0.0946	0.1131	0.216	0.5584
SOAT1	1521.3796	-0.0325	0.0989	0.6574	0.8762
SOAT2	4.1717	-0.0242	0.1852	0.2492	NA
SOBP	364.136	-0.0706	0.1228	0.3494	0.691
SOCS1	8.1368	-0.0063	0.1789	0.8287	NA
SOCS2	89.4378	-0.0154	0.1483	0.8083	0.9375
SOCS2-AS1	3.1509	-0.0104	0.1833	0.5849	NA
SOCS3	470.9106	0.0074	0.1147	0.9209	0.9766
SOCS4	612.4035	-0.1061	0.1283	0.1705	0.5005
SOCS5	990.7156	-0.0151	0.1078	0.8391	0.9506
SOCS6	708.231	0.0263	0.1086	0.7242	0.9035
SOCS7	1461.3648	0.0455	0.1018	0.5387	0.8174
SOD1	4079.7812	0.0716	0.0892	0.3106	0.6581
SOD2	522.3138	-0.0453	0.1125	0.5464	0.822
SOD3	3770.8913	0.1045	0.1018	0.1621	0.4888
SOGA1	2140.2737	0.0166	0.1007	0.8212	0.9436
SOGA2	280.3234	-0.0608	0.1297	0.4113	0.7371
SOGA3	15.7815	-0.0153	0.1748	0.6869	NA
SOHLH2	554.7032	-0.2285	0.146	0.0094	0.1044
SON	5798.7659	0.4218	0.1225	0	4e-04
SORBS1	206.4638	-0.0428	0.1333	0.5518	0.8246
SORBS2	997.9974	0.7429	0.1537	0	0
SORBS3	1014.515	0.019	0.1048	0.7979	0.9326
SORCS1	643.9962	-0.0906	0.1144	0.2357	0.5806
SORCS2	12.2525	-0.053	0.1879	0.1231	NA
SORD	2413.3173	-0.1425	0.0947	0.0513	0.2735
SORL1	158.3632	0.069	0.1446	0.3301	0.675
SORT1	969.901	-0.0988	0.1061	0.1912	0.5275
SOS1	873.377	-0.001	0.1122	0.9893	0.9967
SOS2	355.5531	-0.0137	0.121	0.8527	0.9555
SOWAHA	1.0826	0.0115	0.1901	0.2825	NA
SOWAHB	0.5097	-0.0038	0.1907	0.6063	NA
SOWAHC	270.3517	0.0389	0.1264	0.5959	0.8465
SOWAHD	2.9856	-0.0212	0.1872	0.203	NA
SOX10	20459.2655	-0.0289	0.0815	0.6677	0.8814
SOX11	1295.4234	0.0271	0.0975	0.7101	0.8962
SOX12	1081.9112	0.0646	0.1079	0.3899	0.7206
SOX13	458.2826	0.0209	0.1196	0.7782	0.9252
SOX15	45.0887	-0.041	0.166	0.4477	NA
