Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Negative Regulation of RNA Biosynthetic Process (GO:1902679)	2/470	0.14114954562949275	0.18392896168740924	0	0	3.1817030705919596	6.229568893954524	TLE2;DAXX
Positive Regulation of DNA Metabolic Process (GO:0051054)	1/108	0.1414838166826225	0.18392896168740924	0	0	6.830106809078772	13.356751550349792	RUVBL2
Glycerophospholipid Biosynthetic Process (GO:0046474)	1/110	0.1439121921931109	0.18553968580268843	0	0	6.704128440366972	12.996301206365398	MTMR3
Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045)	1/110	0.1439121921931109	0.18553968580268843	0	0	6.704128440366972	12.996301206365398	PBRM1
Positive Regulation of T Cell Activation (GO:0050870)	1/111	0.14512389162434894	0.18633191023373197	0	0	6.642857142857143	12.82182680737678	PBRM1
Endoplasmic Reticulum to Golgi Vesicle-Mediated Transport (GO:0006888)	1/112	0.14633393511194243	0.18711552358576247	0	0	6.582689832689833	12.651034890410266	RABGGTB
Regulation of Protein Ubiquitination (GO:0031396)	1/113	0.14754232478714885	0.18789063401465486	0	0	6.52359693877551	12.483817328812401	DAXX
T Cell Activation (GO:0042110)	1/114	0.1487490628614494	0.1878935530881466	0	0	6.465549936788875	12.320070068169967	CD8A
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	1/114	0.1487490628614494	0.1878935530881466	0	0	6.465549936788875	12.320070068169967	CD8A
Regulation of DNA Metabolic Process (GO:0051052)	1/116	0.15115759288297168	0.190166003949545	0	0	6.35248447204969	12.002589505084877	RUVBL2
Cytoskeleton Organization (GO:0007010)	1/117	0.15235938920605785	0.19090815033048214	0	0	6.297413793103448	11.848666839202465	NAA25
Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)	1/121	0.15715016694367204	0.19534204018496285	0	0	6.086309523809524	11.263041107860168	CD8A
Cellular Response to Oxidative Stress (GO:0034599)	1/121	0.15715016694367204	0.19534204018496285	0	0	6.086309523809524	11.263041107860168	STX4
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	3/983	0.15878904510245537	0.19596516284487975	0	0	2.3065149136577707	4.24439965697709	RUVBL2;HSF1;MBTPS2
Protein-Containing Complex Organization (GO:0043933)	1/123	0.15953574154679312	0.19596516284487975	0	0	5.985948477751757	10.987132390976718	HSF1
Response to Cytokine (GO:0034097)	1/123	0.15953574154679312	0.19596516284487975	0	0	5.985948477751757	10.987132390976718	YTHDC2
Regulation of Mitotic Cell Cycle (GO:0007346)	1/124	0.16072608284240514	0.19665308959541336	0	0	5.936991869918699	10.853140024375998	HSF1
Regulation of Protein-Containing Complex Assembly (GO:0043254)	1/126	0.16310188410922824	0.19867307249972635	0	0	5.841428571428572	10.59273101369851	HSF1
Monocarboxylic Acid Metabolic Process (GO:0032787)	1/127	0.16428734841323525	0.19867307249972635	0	0	5.794784580498866	10.466182138523177	HSD17B10
Regulation of Anatomical Structure Morphogenesis (GO:0022603)	1/127	0.16428734841323525	0.19867307249972635	0	0	5.794784580498866	10.466182138523177	RNASEH1
Fatty Acid Metabolic Process (GO:0006631)	1/130	0.16783402152541851	0.20217843519664316	0	0	5.6591915836101885	10.10041056838061	HSD17B10
Mitochondrion Organization (GO:0007005)	1/134	0.1725403193036799	0.2070483831644159	0	0	5.487916219119227	9.64295113556681	HSD17B10
Regulation of Protein Phosphorylation (GO:0001932)	1/136	0.17488382087862966	0.20905652151008605	0	0	5.406084656084656	9.426229803194653	DAXX
protein-RNA Complex Assembly (GO:0022618)	1/137	0.17605316726767478	0.20965109995234554	0	0	5.366071428571429	9.320701026176103	RPS14
Protein Modification Process (GO:0036211)	2/542	0.17676398874512056	0.20969720337824188	0	0	2.747599451303155	4.761424534548344	MTMR3;RABGGTB
Cellular Response to Starvation (GO:0009267)	1/140	0.1795516141356458	0.21219736216030868	0	0	5.249486125385406	9.014903511334415	MTMR3
Regulation of Cell Adhesion (GO:0030155)	1/142	0.1818759395822173	0.2141331816967992	0	0	5.17451874366768	8.819607440072412	STX4
Protein Homooligomerization (GO:0051260)	1/143	0.18303571687814377	0.2146885100224844	0	0	5.137826961770624	8.724410231219021	HSD17B10
Regulation of Cell Cycle Process (GO:0010564)	1/146	0.18650553215502064	0.2179390488103612	0	0	5.030788177339901	8.448174299637499	PBRM1
Positive Regulation of Metabolic Process (GO:0009893)	1/147	0.18765897204943244	0.21846865402769747	0	0	4.996086105675147	8.359096259449366	HSF1
Regulation of Cold-Induced Thermogenesis (GO:0120161)	1/148	0.18881083280647304	0.2189924900952401	0	0	4.9618561710398446	8.271462117863548	HSF1
Protein Maturation (GO:0051604)	1/158	0.20024304593835662	0.23139196419543429	0	0	4.643539581437671	7.467849109055174	MBTPS2
Macroautophagy (GO:0016236)	1/161	0.20364226733677812	0.23445161405562645	0	0	4.555803571428571	7.250062140593736	MTMR3
Positive Regulation of Response to External Stimulus (GO:0032103)	1/163	0.2059006606233827	0.236180169538586	0	0	4.499118165784832	7.110232937384172	STX4
Regulation of Macromolecule Biosynthetic Process (GO:0010556)	1/169	0.21263879976101419	0.24301577115544476	0	0	4.337159863945578	6.714618839713843	DAXX
Positive Regulation of Protein Phosphorylation (GO:0001934)	1/170	0.2137564425843987	0.24340149666544666	0	0	4.311284868977177	6.651959160578127	DAXX
Positive Regulation of Cellular Process (GO:0048522)	2/620	0.21681431623780772	0.2454176038287513	0	0	2.3914658995565143	3.655867346863451	PBRM1;STX4
Membrane Organization (GO:0061024)	1/173	0.21710018800235695	0.2454176038287513	0	0	4.2354651162790695	6.469233900398463	MTMR3
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091)	1/174	0.2182117155920367	0.24578359301341318	0	0	4.2107762180016515	6.410020486824164	HSF1
Transcription by RNA Polymerase II (GO:0006366)	1/194	0.24012494181757865	0.2694927404571386	0	0	3.7707253886010363	5.3793013801356775	PBRM1
Response to Endoplasmic Reticulum Stress (GO:0034976)	1/196	0.2422833564419875	0.2709405276340505	0	0	3.7316849816849818	5.2902133006887055	MBTPS2
Regulation of Cell Differentiation (GO:0045595)	1/201	0.247653526639434	0.27595678682679786	0	0	3.6375	5.076948158410026	PBRM1
Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	1/202	0.24872314208935892	0.27616234993551597	0	0	3.619225302061123	5.035843940347816	DAXX
Intracellular Monoatomic Cation Homeostasis (GO:0030003)	1/208	0.25511006814062515	0.2822494370917555	0	0	3.513285024154589	4.79935879773509	GLRX3
Protein Stabilization (GO:0050821)	1/211	0.2582838397607784	0.28374844368085517	0	0	3.4625850340136055	4.687288011153651	RUVBL2
Regulation of Angiogenesis (GO:0045765)	1/211	0.2582838397607784	0.28374844368085517	0	0	3.4625850340136055	4.687288011153651	RNASEH1
Regulation of Apoptotic Process (GO:0042981)	2/703	0.26033898072591233	0.2850026736367883	0	0	2.0995403391979712	2.8254999246940233	DAXX;RUVBL2
Positive Regulation of DNA-templated Transcription (GO:0045893)	3/1274	0.2657144276919105	0.2898702847548114	0	0	1.7520123464261939	2.3220000016420625	RUVBL2;HSF1;MBTPS2
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	2/732	0.27563678222931776	0.2996469548973768	0	0	2.013191273465246	2.5943417881002437	RPS14;HSF1
Cellular Response to Lipid (GO:0071396)	1/234	0.28218607076502883	0.30570157666211456	0	0	3.117259350091968	3.9439209936817603	RUVBL2
Positive Regulation of Developmental Process (GO:0051094)	1/244	0.2923447876606119	0.3156109818342938	0	0	2.98750734861846	3.674100450946616	PBRM1
Regulation of Cell Population Proliferation (GO:0042127)	2/767	0.294101808943509	0.31641298065646484	0	0	1.9176954732510287	2.3469318753970487	PBRM1;STX4
Positive Regulation of Cell Motility (GO:2000147)	1/248	0.2963692849650987	0.31775675913783774	0	0	2.9385482938114516	3.573712621579927	STX4
Lipid Metabolic Process (GO:0006629)	1/259	0.3073230368677407	0.32837255994087367	0	0	2.8117386489479514	3.3174462859124825	HSD17B10
Cellular Component Assembly (GO:0022607)	1/275	0.32296234939196844	0.3439053003764306	0	0	2.645464025026069	2.9899551014511636	HSF1
RNA Processing (GO:0006396)	1/290	0.33731419281945924	0.35796608217575265	0	0	2.5063025210084033	2.723700354746312	RPS17
Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	1/295	0.34203252794342837	0.3617428770113547	0	0	2.4630709426627795	2.6425042704238266	CD8A
Positive Regulation of Cell Differentiation (GO:0045597)	1/297	0.3439107655254214	0.36250053663490356	0	0	2.446187258687259	2.610994374260767	PBRM1
DNA Metabolic Process (GO:0006259)	1/301	0.34765172268614575	0.3652098904985774	0	0	2.413095238095238	2.5495656607870885	RUVBL2
Protein Transport (GO:0015031)	1/308	0.35414889691668816	0.3707867645570695	0	0	2.35725919032108	2.4469242418290422	STX4
Regulation of Cell Cycle (GO:0051726)	1/317	0.3624106512777003	0.3781676361158611	0	0	2.2891048824593128	2.3233895257549193	RUVBL2
Intracellular Protein Transport (GO:0006886)	1/326	0.3705703199553783	0.38539313275359344	0	0	2.224725274725275	2.2085115988487876	STX4
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	1/339	0.382178746115574	0.3961454112560102	0	0	2.1377852916314453	2.056264821643398	DMAC2
Positive Regulation of Cell Migration (GO:0030335)	1/343	0.3857087902763499	0.39848060452391115	0	0	2.1123642439431913	2.012391586230164	STX4
Intracellular Signaling Cassette (GO:0141124)	1/354	0.39531628985721823	0.40705835787277916	0	0	2.0454269526507485	1.8982975524564054	HSF1
Protein Localization (GO:0008104)	1/371	0.4098794835145223	0.4206657857122729	0	0	1.94980694980695	1.7390174250816735	STX4
Negative Regulation of Cell Population Proliferation (GO:0008285)	1/379	0.416615006292415	0.426176662174536	0	0	1.907785336356765	1.6704429707979591	PBRM1
Cellular Response to Oxygen-Containing Compound (GO:1901701)	1/383	0.4199548719343684	0.42818928118798344	0	0	1.887434554973822	1.637553359485303	RUVBL2
Positive Regulation of Multicellular Organismal Process (GO:0051240)	1/407	0.4396097291820037	0.44676949675825783	0	0	1.7737508796622097	1.4577889545808465	HSF1
Regulation of Gene Expression (GO:0010468)	2/1126	0.4757459244011787	0.4819244428998952	0	0	1.2815342032423882	0.9520150302088509	DAXX;RUVBL2
Regulation of Cell Migration (GO:0030334)	1/478	0.49406314184574945	0.49885987137823246	0	0	1.5044174902665468	1.0607526655280028	STX4
Positive Regulation of Cell Population Proliferation (GO:0008284)	1/483	0.49769898338575014	0.5009099445688839	0	0	1.4884410195613516	1.0385743613241885	STX4
Negative Regulation of Cellular Process (GO:0048523)	1/531	0.5313435048925819	0.5330520049083136	0	0	1.3504043126684635	0.8539235285064578	PBRM1
Positive Regulation of RNA Biosynthetic Process (GO:1902680)	1/555	0.5473391880363159	0.5473391880363159	0	0	1.2903558535327488	0.7776801575324124	RUVBL2
