Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cellular Response to Calcium Ion (GO:0071277)	1/58	0.08891611467112977	0.1528427330621381	0	0	11.243969298245615	27.211101540387617	TRPM2
mRNA Transport (GO:0051028)	1/59	0.09037980753274255	0.1533541250394277	0	0	11.049568965517242	26.560229077695883	DDX39A
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	1/59	0.09037980753274255	0.1533541250394277	0	0	11.049568965517242	26.560229077695883	ESPL1
Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	1/60	0.09184122008544106	0.15384866804121655	0	0	10.861758474576272	25.93455620824311	SYVN1
Phosphatidylcholine Metabolic Process (GO:0046470)	1/60	0.09184122008544106	0.15384866804121655	0	0	10.861758474576272	25.93455620824311	CEPT1
mRNA Export From Nucleus (GO:0006406)	1/61	0.09330035574689763	0.15432700353103193	0	0	10.680208333333333	25.332721057947012	DDX39A
Vesicle Organization (GO:0016050)	1/61	0.09330035574689763	0.15432700353103193	0	0	10.680208333333333	25.332721057947012	TRAPPC3
Mitotic Cytokinesis (GO:0000281)	1/62	0.09475721798768526	0.15575717706725764	0	0	10.504610655737705	24.753455936598243	ESPL1
Positive Regulation of Mitotic Cell Cycle Phase Transition (GO:1901992)	1/63	0.0962118102075871	0.1561957165715766	0	0	10.334677419354838	24.195579448465946	ESPL1
Spliceosomal Complex Assembly (GO:0000245)	1/63	0.0962118102075871	0.1561957165715766	0	0	10.334677419354838	24.195579448465946	DDX46
Granulocyte Chemotaxis (GO:0071621)	1/64	0.09766413586120723	0.15758078362881903	0	0	10.17013888888889	23.65798935094119	CXCR1
Negative Regulation of Viral Process (GO:0048525)	1/65	0.09911419834514884	0.15894533027301308	0	0	10.0107421875	23.139656129234847	HEXIM1
Regulation of miRNA Transcription (GO:1902893)	1/66	0.10056200108261601	0.16028973505895763	0	0	9.85625	22.63961716285621	NCOR2
RNA Export From Nucleus (GO:0006405)	1/67	0.10200754748985834	0.16161436740863097	0	0	9.706439393939394	22.156971451445727	DDX39A
Regulation of Translational Initiation (GO:0006446)	1/69	0.1048918849194129	0.16420574841550947	0	0	9.420036764705882	21.24053559178353	EIF5B
Phospholipid Metabolic Process (GO:0006644)	1/69	0.1048918849194129	0.16420574841550947	0	0	9.420036764705882	21.24053559178353	PLD2
Negative Regulation of Immune Response (GO:0050777)	1/70	0.10633068273355847	0.16547319265636615	0	0	9.283061594202898	20.805210571096033	DDX39A
Cellular Response to Reactive Oxygen Species (GO:0034614)	1/71	0.1077672378139481	0.16574727219338217	0	0	9.15	20.384201485198965	TRPM2
Positive Regulation of Protein Polymerization (GO:0032273)	1/71	0.1077672378139481	0.16574727219338217	0	0	9.15	20.384201485198965	ARL2
Intracellular Signaling Cassette (GO:0141124)	2/354	0.10985364692921983	0.16651240318580351	0	0	3.7049120234604107	8.182691967526978	CXCR1;PLD2
Heterochromatin Formation (GO:0031507)	1/73	0.11063363330702743	0.16651240318580351	0	0	8.894965277777779	19.5825430260592	H2AC20
